Distance (mm),T (C),P (atm),He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),HNX(49),NX(59),NOX2(76),gas_heat,surface_heat,alpha
2.4054545454545457,415.0,1.0000000000000002,0.10799999952606637,0.0,0.0,0.879999974196945,0.0010000263252628904,3.254312283825191e-15,1.75530942686614e-08,0.010999982398628191,0.0,3.830880677878735e-06,2.444650784142848e-16,0.9999779128617369,7.788538200204664e-11,2.431136889198609e-12,4.319215235801733e-23,5.602722587285402e-20,1.8221501703569352e-05,3.4643472509147295e-08,4.896397966413536e-13,2.702034366101251e-14,5.012198076169426e-12,2.6741149460349686e-11,1,-2.7948248789597567,1.5571574206056131
2.413636363636364,415.0,1.0000000000000004,0.10799999952445433,0.0,0.0,0.8799999741091796,0.0010000264148044512,3.2654814585204284e-15,1.7612798571045322e-08,0.010999982338759677,0.0,3.830880656755957e-06,2.444650856962235e-16,0.9999779123065077,7.788538478377935e-11,2.431137093462571e-12,4.31947875760494e-23,5.603295519381435e-20,1.822205695327161e-05,3.464347229995316e-08,4.89639791276675e-13,2.7020343367512085e-14,5.01235078329119e-12,2.6741964171690528e-11,1,-2.7948248473137407,1.5571574304293085
2.4218181818181823,415.0,1.0000000000000002,0.10799999952284231,0.0,0.0,0.8799999740214142,0.0010000265043460111,3.2766513138114634e-15,1.7672502872768163e-08,0.010999982278891166,0.0,3.8308806364606e-06,2.444650930579429e-16,0.9999779117512638,7.78853875739321e-11,2.4311372982516138e-12,4.3197422959167986e-23,5.603868486977025e-20,1.8222612216904802e-05,3.4643472094770896e-08,4.896397860177389e-13,2.702034307990222e-14,5.012503495326131e-12,2.674277890924291e-11,1,-2.794824815880416,1.5571574401869799
2.43,415.0,1.0000000000000002,0.10799999952123031,0.0,0.0,0.879999973933649,0.0010000265938875704,3.287821849716368e-15,1.7732207173824372e-08,0.010999982219022654,0.0,3.830880615864676e-06,2.4446510039068154e-16,0.9999779111960255,7.78853903610277e-11,2.4311375028500797e-12,4.320005839177991e-23,5.604441475244056e-20,1.822316747546207e-05,3.4643471888128235e-08,4.896397807202944e-13,2.7020342790148436e-14,5.0126562055697415e-12,2.674359363723751e-11,1,-2.7948247811490474,1.5571574509684447
2.4381818181818184,415.0,1.0000000000000004,0.10799999951961829,0.0,0.0,0.8799999738458836,0.0010000266834291286,3.298993066250677e-15,1.7791911474203084e-08,0.010999982159154147,0.0,3.830880595547568e-06,2.444651077503028e-16,0.9999779106407817,7.788539315095758e-11,2.431137707625147e-12,4.320269393331029e-23,5.605014491807272e-20,1.822372273870345e-05,3.464347168284337e-08,4.89639775458667e-13,2.7020342502387556e-14,5.012808917465843e-12,2.6744408374047336e-11,1,-2.794824753302523,1.5571574596126863
2.4463636363636367,415.0,1.0000000000000002,0.10799999951800628,0.0,0.0,0.8799999737581182,0.0010000267729706857,3.310164963435661e-15,1.7851615773905476e-08,0.010999982099285639,0.0,3.830880574820862e-06,2.4446511507042763e-16,0.9999779100855464,7.788539593671928e-11,2.4311379121404435e-12,4.320532951316969e-23,5.605587527609983e-20,1.8224277995034016e-05,3.464347147556774e-08,4.896397701445533e-13,2.7020342211704064e-14,5.012961626923232e-12,2.6745223097845388e-11,1,-2.794824721990076,1.5571574693328352
2.454545454545455,415.0,0.9999999999999999,0.10799999951639427,0.0,0.0,0.879999973670353,0.0010000268625122417,3.3213375412898875e-15,1.791132007292704e-08,0.010999982039417131,0.0,3.830880554683534e-06,2.444651224474042e-16,0.999977909530301,7.788539872848867e-11,2.431138117030227e-12,4.320796523369102e-23,5.606160595782625e-20,1.8224833261274627e-05,3.4643471271158814e-08,4.896397649060158e-13,2.7020341925229497e-14,5.013114339876237e-12,2.6746037840292916e-11,1,-2.7948246917507147,1.557157478719872
2.4627272727272733,415.0,1.0000000000000002,0.10799999951478227,0.0,0.0,0.8799999735825876,0.0010000269520537967,3.332510799838544e-15,1.7971024371277156e-08,0.010999981979548623,0.0,3.8308805337373604e-06,2.444651297463431e-16,0.9999779089750684,7.788540151200857e-11,2.4311383214057257e-12,4.321060095168837e-23,5.606733677953998e-20,1.8225388513885813e-05,3.4643471062815867e-08,4.896397595637647e-13,2.7020341632979018e-14,5.013267048020409e-12,2.6746852557082028e-11,1,-2.7948246562732666,1.5571574897329399
2.470909090909091,415.0,1.0000000000000004,0.10799999951317024,0.0,0.0,0.8799999734948222,0.0010000270415953508,3.343684739097972e-15,1.803072866894666e-08,0.010999981919680116,0.0,3.830880513348747e-06,2.4446513709906706e-16,0.9999779084198269,7.788540430121112e-11,2.4311385261355684e-12,4.321323680710659e-23,5.60730679207927e-20,1.8225943775873e-05,3.464347085718003e-08,4.896397542928678e-13,2.7020341344703245e-14,5.013419759471859e-12,2.674766729151604e-11,1,-2.7948246261917458,1.5571574990709802
2.4790909090909095,415.0,1.0000000000000004,0.10799999951155823,0.0,0.0,0.8799999734070569,0.0010000271311369038,3.35485935909122e-15,1.8090432965940445e-08,0.010999981859811608,0.0,3.830880492517461e-06,2.444651444091062e-16,0.9999779078645922,7.788540708590863e-11,2.4311387305844637e-12,4.32158726974536e-23,5.607879925010312e-20,1.822649903038921e-05,3.4643470649398865e-08,4.896397489654307e-13,2.7020341053277472e-14,5.013572468287199e-12,2.674848201188516e-11,1,-2.794824593242408,1.5571575092992616
