Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46),O2X2(47),ONOOJ(35)
6.961235760608539e-05,0.05595639656,0.054,0.0,0.0,0.00048795263917510964,0.8617293317570551,0.007298447554992223,0.001972422340927043,3.009501146174057e-08,0.06113364812820536,0.0,0.02832363193928991,1.6070362708251213e-07,7.681969694582338e-11,5.994450174767914e-07,3.136154645053845e-08,4.1662211145747454e-09,2.57925232628672e-09,1.0953466610768912e-06,3.942665725829039e-06,0.000915277485382372,1.173496088262336e-09,1.8386998815475676e-07,8.530938189824734e-23,5.0967930255648204e-15,5.090640943062699e-18
6.971832410100169e-05,0.05595639656,0.054,0.0,0.0,0.0004878831270500198,0.861727561422808,0.007301918758687284,0.001973496562409104,3.0148421979251864e-08,0.06113133411406578,0.0,0.028323535818666642,1.6068747516700757e-07,7.68000743237252e-11,5.99335806902409e-07,3.135537406073888e-08,4.1658086610753935e-09,2.5800366503052597e-09,1.0953922208746717e-06,3.942816340658439e-06,0.0009154428664074124,1.1735625031588516e-09,1.8390597181689325e-07,8.561245282066924e-23,5.0967584321137724e-15,5.099664979278642e-18
6.982429059591799e-05,0.05595639656,0.054,0.0,0.0,0.00048781393227199276,0.861725791595436,0.007305389265934868,0.00197457087311797,3.020183502344384e-08,0.06112902056376858,0.0,0.02832344002338989,1.606713833299326e-07,7.678052096812704e-11,5.992270030068796e-07,3.134922485383076e-08,4.1653983605772875e-09,2.580822082948174e-09,1.0954376562466979e-06,3.942966551802458e-06,0.0009156076051815164,1.1736295085653837e-09,1.839419501853655e-07,8.591607551066456e-23,5.096723955868287e-15,5.108689408771087e-18
6.993025709083429e-05,0.05595639656,0.054,0.0,0.0,0.00048774505276724016,0.8617240222725695,0.007308859079391702,0.0019756452728126187,3.025525055235222e-08,0.06112670747554567,0.0,0.028323344553288284,1.606553511919005e-07,7.676106997579389e-11,5.991186031375347e-07,3.134309948952477e-08,4.164988946992373e-09,2.581608667034937e-09,1.0954829660238679e-06,3.943116355008648e-06,0.0009157717039635113,1.1736970975933187e-09,1.8397792283408903e-07,8.622024980543358e-23,5.096689596770296e-15,5.1177142244403795e-18
7.003622358575059e-05,0.05595639656,0.054,0.0,0.0,0.0004876764864786431,0.8617222534518552,0.007312328201696962,0.0019767197612495847,3.030866852416741e-08,0.06112439484764044,0.0,0.028323249408178323,1.6063937837083424e-07,7.674168254163656e-11,5.990106046577294e-07,3.1336996938058976e-08,4.164581790529715e-09,2.582396336509765e-09,1.0955281489088922e-06,3.943265745627086e-06,0.000915935165007836,1.1737652634538378e-09,1.8401388934231232e-07,8.65249755411461e-23,5.096655354747062e-15,5.126739419214338e-18
7.014219008066688e-05,0.05595639656,0.054,0.0,0.0,0.00048760823136130517,0.8617204851309556,0.007315796635473024,0.00197779433818299,3.036208889723407e-08,0.06112208267830771,0.0,0.02832315458787298,1.606234644888842e-07,7.672240153637464e-11,5.989030049481027e-07,3.1330917987754813e-08,4.16417536682851e-09,2.5831851507184772e-09,1.0955732037890993e-06,3.943414719597416e-06,0.0009160979905597044,1.1738339993719117e-09,1.840498492930748e-07,8.683025255343698e-23,5.096621229736439e-15,5.1357649860454845e-18
7.024815657558318e-05,0.05595639656,0.054,0.0,0.0,0.0004875402853871544,0.8617187173075488,0.007319264383324877,0.0019788690033645815,3.0415511630050554e-08,0.061119770965813565,0.0,0.028323060092172565,1.6060760917347324e-07,7.670317706024384e-11,5.987958014136021e-07,3.132486147523891e-08,4.1637713267347975e-09,2.5839750248068948e-09,1.0956181293757308e-06,3.943563272308275e-06,0.0009162601828604371,1.1739032986849595e-09,1.8408580227502048e-07,8.713608067684656e-23,5.096587221658091e-15,5.1447909179140535e-18
7.035412307049948e-05,0.05595639656,0.054,0.0,0.0,0.00048747264653969084,0.8617169499793287,0.007322731447841039,0.0019799437565437604,3.04689366812686e-08,0.06111745970843539,0.0,0.028322965920874844,1.6059181204692377e-07,7.668406461868604e-11,5.986889914671743e-07,3.131882833691734e-08,4.1633678418709905e-09,2.5847660399684634e-09,1.095662924619056e-06,3.943711399912398e-06,0.0009164217441416479,1.173973154727176e-09,1.8412174788009523e-07,8.744245974547521e-23,5.096553330446455e-15,5.153817207824377e-18
7.046008956541578e-05,0.05595639656,0.054,0.0,0.0,0.0004874053128194969,0.8617151831440051,0.0073261978315927925,0.0019810185974676125,3.0522364009692754e-08,0.061115148904461666,0.0,0.02832287207376425,1.6057607274758775e-07,7.666499995751584e-11,5.985825725552932e-07,3.1312817254849227e-08,4.162966892645195e-09,2.585558086426098e-09,1.0957075882300556e-06,3.943859097808184e-06,0.0009165826766316578,1.174043560962998e-09,1.8415768570625946e-07,8.774938959224096e-23,5.096519556013145e-15,5.1628438488088696e-18
7.056605606033208e-05,0.05595639656,0.054,0.0,0.0,0.000487338282237967,0.8617134167993024,0.007329663537135283,0.0019820935258809476,3.057579357428e-08,0.06111283855219204,0.0,0.0283227785506238,1.605603908961199e-07,7.664605493173578e-11,5.984765421220152e-07,3.1306829335922784e-08,4.162566294393703e-09,2.5863512742628206e-09,1.0957521192307388e-06,3.9440063623900196e-06,0.0009167429825484793,1.1741145108306161e-09,1.841936153541268e-07,8.8056870049744e-23,5.096485898289997e-15,5.171870833923284e-18
7.066142590575675e-05,0.05595639656,0.054,0.0,0.0,0.00048727821226962127,0.8617118275066836,0.007332782094351365,0.001983061036043556,3.062388206053999e-08,0.061110759619960674,0.0,0.028322694656600703,1.6054632605765574e-07,7.662904435444644e-11,5.983814448044853e-07,3.1301458875661864e-08,4.1622078523844445e-09,2.5870660115473593e-09,1.0957920826898292e-06,3.9441385262537536e-06,0.0009168867239840743,1.1741788252209081e-09,1.8422594472031256e-07,8.833407309435378e-23,5.0964557060470424e-15,5.179995409042903e-18
7.075679575118143e-05,0.05595639656,0.054,0.0,0.0,0.00048721838481729346,0.8617102386080006,0.007335900106112863,0.0019840286166748875,3.067197229526725e-08,0.061108681051017306,0.0,0.02832261102463711,1.6053230719503775e-07,7.661211404609544e-11,5.982866582823388e-07,3.129610663958183e-08,4.161850170124339e-09,2.5877816364738835e-09,1.0958319369889512e-06,3.944270332830696e-06,0.0009170299612975226,1.1742435700620361e-09,1.8425826685918196e-07,8.861172187378733e-23,5.096425608206913e-15,5.188120252280602e-18
7.085216559660611e-05,0.05595639656,0.054,0.0,0.0,0.0004871587984614449,0.8617086501016255,0.007339017574248476,0.0019849962675843563,3.072006424885214e-08,0.061106602844144736,0.0,0.028322527654556257,1.6051833405137504e-07,7.659523437508763e-11,5.981921807415949e-07,3.129077212385604e-08,4.161494037295054e-09,2.5884980947563306e-09,1.0958716812688117e-06,3.944401779037038e-06,0.0009171726960943108,1.1743087407391676e-09,1.8429058148970237e-07,8.88898162643741e-23,5.096395604700567e-15,5.1962453586282274e-18
7.094753544203078e-05,0.05595639656,0.054,0.0,0.0,0.00048709945179067763,0.8617070619859414,0.007342134500576094,0.001985963988579905,3.0768157891787655e-08,0.06110452499813315,0.0,0.028322444546178653,1.6050440635858024e-07,7.657843461432824e-11,5.980980103708386e-07,3.128545561408876e-08,4.161138671855797e-09,2.5892154312003735e-09,1.0959113148118414e-06,3.944532862246059e-06,0.000917314929974102,1.17437433263556e-09,1.8432288833293003e-07,8.916835614169714e-23,5.096365695467284e-15,5.204370723093891e-18
7.104290528745546e-05,0.05595639656,0.054,0.0,0.0,0.00048704034340367263,0.8617054742593402,0.007345250886902716,0.001986931779468061,3.081625319466629e-08,0.061102447511779824,0.0,0.028322361699317976,1.6049052386457182e-07,7.65616855232553e-11,5.980041453805071e-07,3.128015664146263e-08,4.1607847979827034e-09,2.5899335912827376e-09,1.0959508367794282e-06,3.944663579446523e-06,0.0009174566645335338,1.1744403412117282e-09,1.8435518711365504e-07,8.944734138101301e-23,5.096335880434564e-15,5.2124963407037035e-18
7.113827513288014e-05,0.05595639656,0.054,0.0,0.0,0.00048698147190638473,0.8617038869202239,0.007348366735025768,0.001987899640054068,3.086435012817209e-08,0.06110037038388851,0.0,0.02832227911378535,1.6047668630559264e-07,7.654500905226939e-11,5.979105839827674e-07,3.127487535912109e-08,4.1604318646744836e-09,2.590652608167532e-09,1.095990246458755e-06,3.9447939280342285e-06,0.0009175979013641377,1.1745067619268198e-09,1.8438747755864349e-07,8.97267718570203e-23,5.096306159537217e-15,5.220622206498301e-18
7.123364497830481e-05,0.05595639656,0.054,0.0,0.0,0.00048692283591474404,0.8617022999670041,0.0073514820467313665,0.0019888675701417065,3.091244866309412e-08,0.061098293613270425,0.0,0.028322196789385908,1.604628934285845e-07,7.652839313669965e-11,5.978173244074253e-07,3.12696115454882e-08,4.160080132984203e-09,2.5913724561712425e-09,1.0960295430689854e-06,3.944923905189329e-06,0.0009177386420535743,1.174573590299936e-09,1.8441975939776485e-07,9.000664744375647e-23,5.096276532702374e-15,5.228748315536773e-18
7.132901482372949e-05,0.05595639656,0.054,0.0,0.0,0.00048686443405342075,0.8617007133981027,0.0073545968237949495,0.001989835569533369,3.096054877032227e-08,0.0610962171987439,0.0,0.02832211472592046,1.604491449776307e-07,7.651183804547829e-11,5.97724364893076e-07,3.126436508796992e-08,4.159729617998226e-09,2.5920931318362983e-09,1.09606872587052e-06,3.945053508229174e-06,0.0009178788881848448,1.17464082187933e-09,1.8445203236374088e-07,9.02869680150878e-23,5.096246999857703e-15,5.236874662895073e-18
7.142438466915417e-05,0.05595639656,0.054,0.0,0.0,0.0004868062649555956,0.8616991272119509,0.007357711067981861,0.0019908036380301376,3.100865042084274e-08,0.06109414113913405,0.0,0.02832203292318557,1.6043544070066626e-07,7.649534665119236e-11,5.976317036913235e-07,3.125913592649617e-08,4.159380191113261e-09,2.592814634809401e-09,1.0961077941373719e-06,3.945182734516764e-06,0.0009180186413366882,1.1747084522498642e-09,1.844842961924174e-07,9.056773344426265e-23,5.096217560929624e-15,5.245001243665429e-18
