Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26)
7.463319218655735e-05,0.05595639656,0.054,0.0,0.0,0.0004849758305633373,0.8616459712889518,0.007462193739962638,0.0020234140308807683,3.262778000157125e-08,0.06102448931398203,0.0,0.028319430890702487,1.5999843519775121e-07,7.597426581747685e-11,5.94676454494431e-07,3.109259993521806e-08,4.148247157035367e-09,2.6175369742891064e-09,1.097351046803314e-06,3.9492947820857514e-06,0.0009224441030843834,1.1771879049633292e-09,1.8556284895043779e-07
7.487717431146119e-05,0.05595639656,0.054,0.0,0.0,0.0004848460224754095,0.8616419456718802,0.007470115249744475,0.0020258965249557647,3.27509310811583e-08,0.06101920854410824,0.0,0.028319244827732373,1.599669914993569e-07,7.593714021594616e-11,5.944637627777781e-07,3.1080632424200976e-08,4.147446816934885e-09,2.6194495543560352e-09,1.0974395948216428e-06,3.949587519555407e-06,0.0009227594734149576,1.1773904485625567e-09,1.8564417618764355e-07
7.536513856126886e-05,0.05595639656,0.054,0.0,0.0,0.00048459007034849387,0.8616339009076175,0.007485948987341408,0.0020308627051089426,3.2997243235539324e-08,0.06100865318706876,0.0,0.02831887761301389,1.5990480319079687e-07,7.586386280625822e-11,5.940430776468862e-07,3.105696913967613e-08,4.145864224990051e-09,2.6232874391188278e-09,1.0976140257785044e-06,3.950164075522074e-06,0.0009233816539384393,1.1778005332554258e-09,1.8580648975328037e-07
7.585310281107653e-05,0.05595639656,0.054,0.0,0.0,0.00048433888529663034,0.8616258646326219,0.00750177050473733,0.0020358304478512285,3.32435658988873e-08,0.06099810596997289,0.0,0.02831851690789006,1.5984352496591914e-07,7.579185165456797e-11,5.936285057380476e-07,3.103365937093778e-08,4.1443051804328965e-09,2.6271418318513656e-09,1.0977848600885893e-06,3.9507285794105346e-06,0.0009239925785356499,1.1782169265532871e-09,1.8596832992613782e-07
7.63410670608842e-05,0.05595639656,0.054,0.0,0.0,0.00048409232917730644,0.8616178366864886,0.007517579984142747,0.0020407997206772542,3.348989574152117e-08,0.06098756677154459,0.0,0.028318162664370487,1.5978313108514166e-07,7.572106928333856e-11,5.9321987058186e-07,3.101069284750371e-08,4.1427690171462185e-09,2.6310121965463703e-09,1.0979520500642327e-06,3.951280853829913e-06,0.000924592433977966,1.1786392180296788e-09,1.861296752570485e-07
7.682903131069187e-05,0.05595639656,0.054,0.0,0.0,0.00048385026811059343,0.8616098169135662,0.007533377602552528,0.0020457704906542825,3.3736229492306026e-08,0.060977035473978855,0.0,0.028317814832803514,1.5972359658666706e-07,7.565147941356205e-11,5.928170011921818e-07,3.0988059620785763e-08,4.141255089143717e-09,2.6348980125641008e-09,1.0981155525882053e-06,3.9518207375918195e-06,0.000925181404390485,1.1790670141353925e-09,1.8629050559205868e-07
7.731699556049953e-05,0.05595639656,0.054,0.0,0.0,0.00048361257233714487,0.8616018051628044,0.007549163531907323,0.0020507427244627653,3.398256393782069e-08,0.06096651196283411,0.0,0.02831747336199263,1.596648972612175e-07,7.558304692298864e-11,5.924197318822401e-07,3.0965750053165526e-08,4.139762769894301e-09,2.6387987741539775e-09,1.098275328915735e-06,3.952348085012797e-06,0.0009257596712795685,1.1794999375446288e-09,1.8645080201794058e-07
7.78049598103072e-05,0.05595639656,0.054,0.0,0.0,0.00048337911608132823,0.8615938012876073,0.007564937939249683,0.0020557163884352024,3.422889592153352e-08,0.06095599612692856,0.0,0.028317138199307743,1.5960700962765887e-07,7.55157378057275e-11,5.9202790208744e-07,3.0943754807468015e-08,4.138291451719036e-09,2.6427139899935443e-09,1.0984313444836026e-06,3.952862765241665e-06,0.00092632741356016,1.1799376265604661e-09,1.8661054681371387e-07
7.829292406011487e-05,0.05595639656,0.054,0.0,0.0,0.0004831497774192271,0.8615858051456907,0.007580700986875092,0.0020606914485934084,3.447522234298633e-08,0.060945487858239555,0.0,0.02831680929079183,1.59549910909461e-07,7.544951913362982e-11,5.91641356194535e-07,3.092206483682333e-08,4.136840545165747e-09,2.6466431827418717e-09,1.0985835687257085e-06,3.953364661609622e-06,0.0009268848075828988,1.180379734533184e-09,1.8676972340410078e-07
7.878088830992254e-05,0.05595639656,0.054,0.0,0.0,0.0004829244381514777,0.8615778165989452,0.007596452832477983,0.0020656678706841786,3.472154015698655e-08,0.06093498705180647,0.0,0.028316486581262883,1.5949357901199446e-07,7.53843590190429e-11,5.912599433770791e-07,3.090067137490632e-08,4.135409478426723e-09,2.6505858886089876e-09,1.0987319748954526e-06,3.9538536710043425e-06,0.0009274320271610344,1.1808259293008364e-09,1.869283163133365e-07
