Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13)
1.415730889127257e-10,0.05595639656,0.054,0.0,0.0,0.029713557465375816,0.8799910355931234,4.290727784177647e-10,0.0,0.0,0.06599657933286719,0.0,1.79270925133221e-05,1.6002576275836303e-06,1.9207742461136403e-06,1.6590760397974721e-06,1.613334654313022e-07,1.2921667769991085e-09
1.4375270038321277e-10,0.05595639656,0.054,0.0,0.0,0.02971323304613442,0.8799908976866336,4.50512847133635e-10,0.0,0.0,0.06599654368904578,0.0,1.820285458294228e-05,1.603851570390576e-06,1.933758126800999e-06,1.6863947745424157e-06,1.6606460928306227e-07,1.3216364626744134e-09
1.4593231185369985e-10,0.05595639656,0.054,0.0,0.0,0.029712909215913113,0.8799907597831742,4.72583037001721e-10,0.0,0.0,0.06599650834312361,0.0,1.8478609888924758e-05,1.6071218459562788e-06,1.946457577239317e-06,1.713718992176928e-06,1.7081603826132943e-07,1.3511791668564787e-09
1.4811192332418692e-10,0.05595639656,0.054,0.0,0.0,0.029712585954414138,0.8799906218827397,4.952877471090489e-10,0.0,0.0,0.06599647328495303,0.0,1.8754358439712916e-05,1.6100822748293328e-06,1.9588827411820794e-06,1.7410468547596908e-06,1.7558591735341644e-07,1.380792861108288e-09
1.50291534794674e-10,0.05595639656,0.054,0.0,0.0,0.029712263241925337,0.8799904839853245,5.186312754816985e-10,0.0,0.0,0.06599643850467872,0.0,1.90301002432431e-05,1.6127462446264606e-06,1.9710434692243933e-06,1.768376595207708e-06,1.8037248145049396e-07,1.4104757533308768e-09
1.5247114626516106e-10,0.05595639656,0.054,0.0,0.0,0.02971194105931929,0.8799903460909243,5.426178276763096e-10,0.0,0.0,0.06599640399273694,0.0,1.930583530696324e-05,1.6151267123821526e-06,1.982949319235537e-06,1.7957065163026183e-06,1.8517403438947618e-07,1.4402262714551975e-09
1.5465075773564814e-10,0.05595639656,0.054,0.0,0.0,0.029711619388050756,0.8799902081995338,5.672515249570806e-10,0.0,0.0,0.0659963697398545,0.0,1.9581563637851115e-05,1.617236208096852e-06,1.994609557692542e-06,1.8230349895486238e-06,1.8998894784611607e-07,1.4700430478672357e-09
1.568303692061352e-10,0.05595639656,0.054,0.0,0.0,0.029711298210152337,0.8799900703111481,5.925364120614655e-10,0.0,0.0,0.06599633573704665,0.0,1.9857285242432196e-05,1.6190868393477184e-06,2.0060331618187436e-06,1.850360453902053e-06,1.9481566009923692e-07,1.4999249045640046e-09
1.5900998067662228e-10,0.05595639656,0.054,0.0,0.0,0.02971097750822885,0.8799899324257628,6.184764645594232e-10,0.0,0.0,0.06599630197561407,0.0,2.0133000126797104e-05,1.6206902968352829e-06,2.0172288224374735e-06,1.8776814143910674e-06,1.9965267468455244e-07,1.5298708390349888e-09
1.6118959214710935e-10,0.05595639656,0.054,0.0,0.0,0.02971065726545041,0.8799897945433736,6.450755958124814e-10,0.0,0.0,0.06599626844713964,0.0,2.0408708296618624e-05,1.6220578607480933e-06,2.0282049474570985e-06,1.904996440642637e-06,2.0449855895512403e-07,1.5598800108573148e-09
