Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59)
1e-12,0.05595639656,0.054,0.0,0.0,0.029736648374649104,0.8799999366287694,1.5901444055861011e-19,0.0,0.0,0.06599996852329634,0.0,1.2674245247161583e-07,2.069738749386271e-08,2.0697620823093062e-08,1.0779195044082047e-08,1.2109194478059228e-13,8.854260938945381e-15,2.9981834642196614e-23,1.9236699560420764e-20
1.4096350627890275e-12,0.05595639656,0.054,0.0,0.0,0.029736575087331667,0.8799999106699122,8.815923616425282e-19,0.0,0.0,0.06599995563113487,0.0,1.7866015149288297e-07,2.9174409290738343e-08,2.917506251618037e-08,1.5194117160843412e-08,3.386600864747414e-13,2.4093139276862622e-14,2.9731224418875914e-22,1.0911271221921777e-19
1.899942915233462e-12,0.05595639656,0.054,0.0,0.0,0.029736487370588715,0.8799998795989339,3.708977406458771e-18,0.0,0.0,0.06599994020196044,0.0,2.4080207513815e-07,3.931907412018815e-08,3.932067433812242e-08,2.047813670405461e-08,8.286965251508412e-13,5.716919774319995e-14,2.0270867388193644e-21,4.697841321642576e-19
2.390250767677897e-12,0.05595639656,0.054,0.0,0.0,0.029736399658729082,0.87999984852814,1.1085809632492196e-17,0.0,0.0,0.0659999247753595,0.0,3.029436097728374e-07,4.9461156498330293e-08,4.946434507035359e-08,2.5761834438825667e-08,1.6495352894239688e-12,1.104814365213973e-13,8.802545119129733e-21,1.4359593568070707e-18
2.8805586201223316e-12,0.05595639656,0.054,0.0,0.0,0.029736311952714225,0.8799998174575304,2.6977092746321666e-17,0.0,0.0,0.0659999093518108,0.0,3.6508475162895247e-07,5.960000718529928e-08,5.960559207078022e-08,3.10452956074987e-08,2.8863652336434966e-12,1.8780337416734527e-13,2.905763806591951e-20,3.575003493316702e-18
3.3708664725667664e-12,0.05595639656,0.054,0.0,0.0,0.029736224253504032,0.8799997863871051,5.707480684671737e-17,0.0,0.0,0.06599989393179267,0.0,4.272254974338124e-07,6.973497767690591e-08,6.974393370557891e-08,3.632860534469086e-08,4.624268455794876e-12,2.9241975239501724e-13,7.944604499516468e-20,7.739870196150798e-18
4.351482177455636e-12,0.05595639656,0.054,0.0,0.0,0.029736048879328854,0.8799997242468077,1.9244968100144276e-16,0.0,0.0,0.06599986310425791,0.0,5.515057896727407e-07,8.999068870564442e-08,9.000997947102402e-08,4.689511037992892e-08,9.942948031728361e-12,5.948307338953317e-13,4.0964849524793237e-19,2.7363354629434527e-17
5.3320978823445054e-12,0.05595639656,0.054,0.0,0.0,0.02973587354384625,0.8799996621072477,5.045112172228062e-16,0.0,0.0,0.06599983229656706,0.0,6.757844679553012e-07,1.1022312202089745e-07,1.1025865129811105e-07,5.7462027571999107e-08,1.8283258385734774e-11,1.0364565014067248e-12,1.4765898372691028e-18,7.503914903931867e-17
6.312713587233375e-12,0.05595639656,0.054,0.0,0.0,0.029735698254664145,0.8799995999684246,1.118397814678278e-15,0.0,0.0,0.06599980151251686,0.0,8.000615183695758e-07,1.304271314248911e-07,1.304861378047206e-07,6.803003172312504e-08,3.031978066099527e-11,1.6314610900541223e-12,4.211402771291768e-18,1.7370937317817606e-16
7.293329292122244e-12,0.05595639656,0.054,0.0,0.0,0.029735523019350084,0.8799995378303385,2.2003550716300113e-15,0.0,0.0,0.06599977075588573,0.0,9.243369303789874e-07,1.50597596926998e-07,1.5068864950889944e-07,7.859979368720935e-08,4.672328867958998e-11,2.3906471735255563e-12,1.0201824118616235e-17,3.563702621396309e-16
8.273944997011114e-12,0.05595639656,0.054,0.0,0.0,0.02973534784542531,0.879999475692989,3.9597155923618515e-15,0.0,0.0,0.06599974003043009,0.0,1.0486106960340038e-06,1.7072942946966975e-07,1.708624213956013e-07,8.917197968750042e-08,6.816006150466655e-11,3.3222413976890405e-12,2.188437820040132e-17,6.67880798907716e-16
9.254560701899983e-12,0.05595639656,0.054,0.0,0.0,0.029735172740358775,0.8799994135563759,6.650205427528542e-15,0.0,0.0,0.06599970933988143,0.0,1.1728828094583971e-06,1.9081757550324665e-07,1.9100371564512976e-07,9.974725066205036e-08,9.529121820591254e-11,4.43241282988076e-12,4.272066752480948e-17,1.1667074263609145e-15
1e-11,0.05595639656,0.054,0.0,0.0,0.029735039680540372,0.8799993663221839,9.500696680785847e-15,0.0,0.0,0.06599968603533547,0.0,1.2673502241840583e-06,2.0605576188263603e-07,2.062906071254661e-07,1.077887719889737e-07,1.2012892644189975e-10,5.3986255720865425e-12,6.748720029037462e-17,1.7159360469152067e-15
1.0235176406788853e-11,0.05595639656,0.054,0.0,0.0,0.029734997711561722,0.8799993514204987,1.05707411760203e-14,0.0,0.0,0.06599967868794318,0.0,1.2971532664697204e-06,2.1085702107995876e-07,2.1110882415900385e-07,1.1032626167524296e-07,1.287721229230577e-10,5.725654133355384e-12,7.734148521882841e-17,1.926472411279113e-15
1.1215792111677723e-11,0.05595639656,0.054,0.0,0.0,0.029734822766380675,0.8799992892853573,1.606591313600307e-14,0.0,0.0,0.06599964807828708,0.0,1.4214220641485343e-06,2.3084279705531155e-07,2.311740718247329e-07,1.2090966116740325e-07,1.6925162942916324e-10,7.205211988630491e-12,1.3169918784884965e-16,3.0379064077548068e-15
1.2196407816566592e-11,0.05595639656,0.054,0.0,0.0,0.02973464791209174,0.8799992271509514,2.352634304505844e-14,0.0,0.0,0.06599961751455023,0.0,1.5456892005567572e-06,2.5076998333551505e-07,2.511958192558294e-07,1.314980903416009e-07,2.1737146493045953e-10,8.873365796277237e-12,2.131762853159303e-16,4.610423660176996e-15
1.3177023521455462e-11,0.05595639656,0.054,0.0,0.0,0.029734473155895003,0.8799991650172801,3.338861369411152e-14,0.0,0.0,0.06599958700033207,0.0,1.6699546745471024e-06,2.7063371291650304e-07,2.711704654756102e-07,1.4209218258174564e-07,2.737656447289968e-10,1.0731616616038301e-11,3.306560499591325e-16,6.7736017622497855e-15
1.4157639226344331e-11,0.05595639656,0.054,0.0,0.0,0.029734298504909017,0.8799991028843436,4.6135184216613135e-14,0.0,0.0,0.06599955653919166,0.0,1.7942184856167418e-06,2.904291758639726e-07,2.9109445060374236e-07,1.526925628810393e-07,3.3905989609425517e-10,1.2780832752653322e-11,4.945828415048602e-16,9.678622392262264e-15
1.6118870636122072e-11,0.05595639656,0.054,0.0,0.0,0.02973394954660125,0.8799989786206722,8.243882683289686e-14,0.0,0.0,0.06599949579016058,0.0,2.0427411194459947e-06,3.297963723912639e-07,3.307764205328621e-07,1.7391464210638745e-07,4.988064807232331e-10,1.7453230452199645e-11,1.0116145400953544e-15,1.8435802754637465e-14
1.808010204589981e-11,0.05595639656,0.054,0.0,0.0,0.029733601092271758,0.8799988543599325,1.3720432011103917e-13,0.0,0.0,0.06599943529501154,0.0,2.2912571064288537e-06,3.688343887145709e-07,3.7021417704684123e-07,1.9516913810668217e-07,7.014290451319599e-10,2.2889326572559592e-11,1.8804823902477533e-15,3.257802523575876e-14
1.9845210314699777e-11,0.05595639656,0.054,0.0,0.0,0.029733287958486947,0.8799987425277705,2.0679268151618707e-13,0.0,0.0,0.06599938108855614,0.0,2.514915818637601e-06,4.036573583368891e-07,4.0547725183058906e-07,2.1432973945756364e-07,9.242943970785757e-10,2.8430540060875653e-11,3.0806821566137974e-15,5.1660759057659434e-14
2.1610318583499744e-11,0.05595639656,0.054,0.0,0.0,0.029732975313949982,0.8799986306979763,3.0024185875362586e-13,0.0,0.0,0.06599932712826752,0.0,2.738569162147674e-06,4.3815912181257897e-07,4.4050200514541896e-07,2.3352361314618022e-07,1.1889188197131451e-09,3.4580323314847376e-11,4.803134381814015e-15,7.870090935384188e-14
2.337542685229971e-11,0.05595639656,0.054,0.0,0.0,0.029732663195093666,0.8799985188705461,4.2247334531625087e-13,0.0,0.0,0.0659992734323683,0.0,2.962217146888832e-06,4.723151994202572e-07,4.7527022408275645e-07,2.5275388254113545e-07,1.498433822856627e-09,4.1331374660756694e-11,7.18624632345346e-15,1.1590222293308627e-13
2.5140535121099676e-11,0.05595639656,0.054,0.0,0.0,0.029732351636993625,0.8799984070454757,5.788405107535391e-13,0.0,0.0,0.06599922001840337,0.0,3.185859783968769e-06,5.061020653069757e-07,5.097643749983657e-07,2.7202353248243823e-07,1.8558330029385078e-09,4.867530378636257e-11,1.0384166101404994e-14,1.6581155987576269e-13
2.6905643389899643e-11,0.05595639656,0.054,0.0,0.0,0.029732040673295712,0.8799982952227611,7.751142925873846e-13,0.0,0.0,0.06599916690320339,0.0,3.4094970854065106e-06,5.394971981680306e-07,5.439676397009006e-07,2.9133540221237007e-07,2.2639648929199056e-09,5.660289318440489e-11,1.4565908829758657e-14,2.313322085906848e-13
2.867075165869961e-11,0.05595639656,0.054,0.0,0.0,0.02973173033615098,0.8799981834023973,1.0174677047597176e-12,0.0,0.0,0.06599911410285207,0.0,3.6331290639888784e-06,5.724791263604665e-07,5.778639478722522e-07,3.1069217914401307e-07,2.7255266528834325e-09,6.510423663000004e-11,1.9914338315164146e-14,3.157342461994101e-13
3.043585992749957e-11,0.05595639656,0.054,0.0,0.0,0.02973142065615858,0.8799980715843794,1.3124590602819147e-12,0.0,0.0,0.06599906163265788,0.0,3.85675573318951e-06,6.050274673374972e-07,6.114380055747336e-07,3.300963934808879e-07,3.2430586153359353e-09,7.416881512169713e-11,2.662503785451082e-14,4.2266196419713123e-13
3.2200968196299536e-11,0.05595639656,0.054,0.0,0.0,0.0297311116623168,0.8799979597687028,1.6670143705091531e-12,0.0,0.0,0.06599900950712916,0.0,4.080377107095629e-06,6.371229612765037e-07,6.446753196971615e-07,3.4955041370517146e-07,3.818939702797868e-09,8.378556486413745e-11,3.490516534022636e-14,5.561383379775582e-13
3.39660764650995e-11,0.05595639656,0.054,0.0,0.0,0.02973080338198208,0.8799978479553617,2.0884088620420648e-12,0.0,0.0,0.0659989577399538,0.0,4.303993200327235e-06,6.687474989798575e-07,6.775622183779686e-07,3.690564429217282e-07,4.4553837048731906e-09,9.394295315065643e-11,4.497227892886504e-14,7.205666045585142e-13
3.573118473389946e-11,0.05595639656,0.054,0.0,0.0,0.02973049584083609,0.8799977361443508,2.584247684996887e-12,0.0,0.0,0.06599890634398269,0.0,4.5276040279634305e-06,6.99884144095804e-07,7.100858674504993e-07,3.886165160494319e-07,5.1544364064544e-09,1.0462904761981174e-10,5.705311415221662e-14,9.207290061053762e-13
3.7496293002699425e-11,0.05595639656,0.054,0.0,0.0,0.029730189062860575,0.8799976243356648,3.162445887577506e-12,0.0,0.0,0.06599885533121706,0.0,4.75120960548582e-06,7.305171497262568e-07,7.422342829634945e-07,4.082324978475076e-07,5.9179735550693725e-09,1.1583156883360706e-10,7.138231893959177e-14,1.1617827857048265e-12
3.926140127149939e-11,0.05595639656,0.054,0.0,0.0,0.02972988307032003,0.879997512529297,3.8312078850139606e-12,0.0,0.0,0.0659988047127998,0.0,4.974809948732876e-06,7.606319694998544e-07,7.739963398208943e-07,4.2790608176261097e-07,6.74769965329882e-09,1.2753793200935978e-10,8.820118967935043e-14,1.4492535376466536e-12
4.102650954029935e-11,0.05595639656,0.054,0.0,0.0,0.029729577883751964,0.879997400725242,4.599006593317329e-12,0.0,0.0,0.06599875449901056,0.0,5.198405073854417e-06,7.902152632483357e-07,8.053617766222424e-07,4.476387895735944e-07,7.645147553277167e-09,1.3973528870914173e-10,1.0775643435768983e-13,1.789026043207897e-12
4.2791617809099315e-11,0.05595639656,0.054,0.0,0.0,0.029729273521964493,0.8799972889234938,5.474562331303998e-12,0.0,0.0,0.06599870469926453,0.0,5.4219949972626584e-06,8.192548974733261e-07,8.36321196827087e-07,4.674319718037823e-07,8.611678823081348e-09,1.5241057203876692e-10,1.3029895847452784e-13,2.1873327434129226e-12
4.455672607789928e-11,0.05595639656,0.054,0.0,0.0,0.029728970002040993,0.8799971771240456,6.466821561409448e-12,0.0,0.0,0.06599865532211469,0.0,5.64557973558349e-06,8.477399408272897e-07,8.668660663997544e-07,4.872868088651509e-07,9.648484849351821e-09,1.6555054182771622e-10,1.5608266368993957e-13,2.6507400174651364e-12
4.632183434669924e-11,0.05595639656,0.054,0.0,0.0,0.02972866733935146,0.8799970653268913,7.58493558667549e-12,0.0,0.0,0.06599860637525744,0.0,5.86915930561151e-06,8.756606548523481e-07,8.969887081046566e-07,5.072043128957728e-07,1.0756588637451275e-08,1.791418262099454e-10,1.85363269480102e-13,3.186132447066114e-12
4.8086942615499204e-11,0.05595639656,0.054,0.0,0.0,0.029728365547570183,0.8799969535320242,8.838239355576729e-12,0.0,0.0,0.0659985578655415,0.0,6.0927337242685315e-06,9.030084802390041e-07,9.266822926312771e-07,5.271853302491407e-07,1.1936847267689135e-08,1.931709597898016e-10,2.183971809805297e-13,3.800695256882471e-12
4.985205088429917e-11,0.05595639656,0.054,0.0,0.0,0.029728064638699387,0.8799968417394378,1.0236230511975304e-11,0.0,0.0,0.06599850979897962,0.0,6.316303008563411e-06,9.297760188861763e-07,9.559408267397642e-07,5.472305445911732e-07,1.3189954963290983e-08,2.0762442051143165e-10,2.554404171286692e-13,4.501895129569864e-12
