Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46),O2X2(47)
5.945158519849549e-06,0.05595639656,0.054,0.0,0.0,0.0015546156283310264,0.8637119725677371,0.0044058730242837315,0.001206613237776257,1.3914861548092135e-09,0.06306043876498513,0.0,0.027649263094629586,3.266093608684013e-07,5.760811252155143e-10,2.0444196048031145e-06,1.316103655098101e-07,8.453063851421915e-09,5.2697156049240256e-09,2.007024202745176e-06,7.052201815579107e-06,0.0005138514295215378,8.736364699637625e-09,4.513001879961568e-07,1.8237510216179362e-25,4.8569790631805086e-15
5.97122727125401e-06,0.05595639656,0.054,0.0,0.0,0.0015493334688315484,0.8637075560656023,0.004409392803968573,0.0012074998781913928,1.399365754010197e-09,0.06305810034228429,0.0,0.027653994346148795,3.2588982061144513e-07,5.725486194374761e-10,2.0370183581395292e-06,1.3101354962611727e-07,8.434465854885167e-09,5.254965444791244e-09,2.00218916209829e-06,7.036416500175473e-06,0.0005144492133709503,8.676600279600137e-09,4.4970400261410394e-07,1.844464292690638e-25,4.8586414265786e-15
5.997296022658471e-06,0.05595639656,0.054,0.0,0.0,0.0015440954302487408,0.8637031694725968,0.004412897133961714,0.0012083822579716972,1.4072543075207838e-09,0.06305577214891717,0.0,0.027658683080228657,3.2517578355215193e-07,5.690561903490903e-10,2.0296817600350584e-06,1.304227486490749e-07,8.416010064878393e-09,5.240331848739438e-09,1.997392421331324e-06,7.020749200604721e-06,0.0005150450278094184,8.617544614695911e-09,4.481215362796223e-07,1.8653182639289897e-25,4.8602891317411234e-15
6.023364774062932e-06,0.05595639656,0.054,0.0,0.0,0.0015389009674546376,0.8636988124389322,0.004416386165781884,0.001209260420953333,1.4151517851978674e-09,0.06305345408477962,0.0,0.027663329830701532,3.244671849451715e-07,5.656032068673818e-10,2.0224089760843453e-06,1.2983787500154154e-07,8.397694808673322e-09,5.225813455923683e-09,1.9926335303047973e-06,7.005198615782742e-06,0.0005156388883665668,8.559186356931437e-09,4.4655262038270734e-07,1.8863132541731665e-25,4.86192235871451e-15
6.049433525467393e-06,0.05595639656,0.054,0.0,0.0,0.0015337495442701832,0.8636944846203927,0.004419860048798603,0.001210134410337995,1.4230581571331797e-09,0.06305114605118492,0.0,0.027667935122582546,3.237639610777886e-07,5.621890505605015e-10,2.0151991861610595e-06,1.2925884276600632e-07,8.379518440221422e-09,5.211408926793792e-09,1.9879120460152613e-06,6.9897634639130224e-06,0.0005162308103744018,8.501514386014017e-09,4.4499708903257387e-07,1.9074495815502354e-25,4.863541284639176e-15
6.080902515279993e-06,0.05595639656,0.054,0.0,0.0,0.0015275875710036855,0.8636892987161685,0.00442403358808251,0.0012111839504445037,1.4326141698655588e-09,0.06304837312397504,0.0,0.02767343992192904,3.229221327157299e-07,5.58118501899527e-10,2.0065786342803503e-06,1.2856752377502364e-07,8.357759488901675e-09,5.194170257299229e-09,1.9822617010856e-06,6.971282844261155e-06,0.0005169427902533756,8.432794210364691e-09,4.431369220509e-07,1.9331531169115125e-25,4.865476773412427e-15
6.112371505092593e-06,0.05595639656,0.054,0.0,0.0,0.0015214866367134214,0.8636841543059363,0.004428185521731678,0.0012122275444310681,1.4421830484976262e-09,0.06304561450326288,0.0,0.027678885950954336,3.220879368437346e-07,5.541026076015034e-10,1.998047312990363e-06,1.2788444903856673e-07,8.336197768334654e-09,5.1770933117707294e-09,1.976664477328521e-06,6.9529664111007025e-06,0.0005176519935468488,8.365039486289025e-09,4.412957395225408e-07,1.9590636310885578e-25,4.8673919774260155e-15
6.143840494905193e-06,0.05595639656,0.054,0.0,0.0,0.0015154458480592403,0.8636790508152535,0.004432316100477109,0.0012132652647454413,1.4517647417486147e-09,0.06304287002337867,0.0,0.027684274084100555,3.2126126714221704e-07,5.501403496566342e-10,1.9896038590074383e-06,1.27209476608529e-07,8.314830531985145e-09,5.160175852625363e-09,1.9711196352544e-06,6.9348120175071076e-06,0.0005183584461170216,8.298231910636494e-09,4.3947326479442673e-07,1.9851816795972388e-25,4.869287192084259e-15
6.175309484717793e-06,0.05595639656,0.054,0.0,0.0,0.0015094643290559588,0.8636739876805045,0.004436425570844677,0.0012142971825950628,1.4613591988093142e-09,0.06304013952142597,0.0,0.02768960517871503,3.204420192974306e-07,5.462307342052506e-10,1.9812469366399344e-06,1.2654246771638952e-07,8.293655084520437e-09,5.1434156837387974e-09,1.965626449241022e-06,6.916817554254687e-06,0.0005190621734375594,8.232353614949126e-09,4.3766922649792734e-07,2.0115078164794233e-25,4.871162707145487e-15
6.206778474530393e-06,0.05595639656,0.054,0.0,0.0,0.0015035412206598922,0.8636689643486447,0.0044405141752457055,0.0012153233679740602,1.4709663693350863e-09,0.06303742283722218,0.0,0.027694880075458866,3.196300909553687e-07,5.423727907820446e-10,1.9729752370968763e-06,1.2588328668444986e-07,8.27266878124638e-09,5.126810649470036e-09,1.9601842072254957e-06,6.898980949065149e-06,0.0005197632006013791,8.167387152719558e-09,4.3588335842830037e-07,2.0380425943145343e-25,4.873018806853185e-15
6.2382474643429925e-06,0.05595639656,0.054,0.0,0.0,0.001497675680363991,0.8636639802769549,0.004444582152065759,0.0012163438896897096,1.4805862034390023e-09,0.06303471981323988,0.0,0.02770009959870687,3.188253816757099e-07,5.385655716565175e-10,1.964787477821931e-06,1.2523180084296937e-07,8.251869027723003e-09,5.110358633747079e-09,1.954792210384995e-06,6.881300165786099e-06,0.0005204615523283929,8.103315487741122e-09,4.341153994242921e-07,2.0647865642301584e-25,4.8748557700653915e-15
6.269716454155592e-06,0.05595639656,0.054,0.0,0.0,0.001491866881791144,0.8636590349327903,0.004448629735753884,0.0012173588153890367,1.490218651684937e-09,0.06303203029454824,0.0,0.02770526455694956,3.18027792883951e-07,5.348081513176017e-10,1.9566824018370742e-06,1.245878804519589e-07,8.231253277527174e-09,5.0940575591817405e-09,1.9494497727897744e-06,6.8637732034404865e-06,0.0005211572529734357,8.040121983507751e-09,4.323650932431562e-07,2.09174027591074e-25,4.876673870386082e-15
6.301185443968192e-06,0.05595639656,0.054,0.0,0.0,0.0014861140143100893,0.8636541277933467,0.004452657156907136,0.0012183682115840028,1.4998636650809567e-09,0.06302935412875713,0.0,0.027710375743172456,3.172372278293502e-07,5.310996257497531e-10,1.948658777096593e-06,1.2395139861622127e-07,8.210819029118625e-09,5.0779053861179916e-09,1.944156221134581e-06,6.8463980956115575e-06,0.0005218503265334535,7.9777903905795e-09,4.306321884483824e-07,2.118904277609151e-25,4.878473376286266e-15
6.332654433780792e-06,0.05595639656,0.054,0.0,0.0,0.0014804162826685635,0.8636492583454354,0.004456664642351669,0.0012193721436756558,1.5095211950729007e-09,0.06302669116596409,0.0,0.027715433935218376,3.164535915454781e-07,5.274391116121024e-10,1.940715395871185e-06,1.2332223120530608e-07,8.190563830092345e-09,5.061900111755493e-09,1.9389108944811296e-06,6.829172909847015e-06,0.0005225407966544072,7.916304834809086e-09,4.2891643830334664e-07,2.1462791161595745e-25,4.880254551219747e-15
6.364123423593392e-06,0.05595639656,0.054,0.0,0.0,0.0014747729066328914,0.8636444260852614,0.00446065241522258,0.0012203706759779213,1.5191911935380276e-09,0.06302404125870134,0.0,0.027720439896143617,3.1567679080607274e-07,5.238257459201724e-10,1.932851074172803e-06,1.2270025678863708e-07,8.170485275191845e-09,5.04603976943205e-09,1.933713143923767e-06,6.812095746681943e-06,0.0005232286866385331,7.85564980940549e-09,4.272176006607232e-07,2.1738653369845226e-25,4.882017653741132e-15
6.395592413405992e-06,0.05595639656,0.054,0.0,0.0,0.0014691831206265877,0.8636396305182018,0.00446462069504389,0.0012213638717414258,1.528873612778685e-09,0.06302140426188335,0.0,0.027725394374575316,3.1490673407882914e-07,5.202586859579641e-10,1.9250646511846695e-06,1.2208535657251562e-07,8.150580994744073e-09,5.030322427872035e-09,1.928562332241319e-06,6.795164738598037e-06,0.0005239140194516934,7.795810167354187e-09,4.2553543785044173e-07,2.201663484099034e-25,4.883762937625049e-15
6.427061403218592e-06,0.05595639656,0.054,0.0,0.0,0.0014636461733861467,0.8636348711585963,0.004468569697804788,0.0012223517931761977,1.5385684055161762e-09,0.06301878003275654,0.0,0.027730298105050455,3.141433314994755e-07,5.167371076199804e-10,1.9173549886437745e-06,1.2147741430004376e-07,8.130848662376234e-09,5.0147461899932255e-09,1.9234578338356714e-06,6.778378050334156e-06,0.0005245968177288647,7.736771102066206e-09,4.2386971658671317e-07,2.229674100133558e-25,4.885490651965525e-15
6.458530393031192e-06,0.05595639656,0.054,0.0,0.0,0.0014581613276341881,0.8636301475295445,0.00447249963603265,0.0012233345014734031,1.5482755248848384e-09,0.06301616843085131,0.0,0.027735151808339194,3.133864948304473e-07,5.132602051281662e-10,1.9097209703178535e-06,1.208763161989733e-07,8.111286010092655e-09,4.999309192473002e-09,1.918399034357048e-06,6.761733877653707e-06,0.0005252771037812044,7.678518143872286e-09,4.2222020786293815e-07,2.257897726340334e-25,4.887201041286614e-15
6.4899993828437916e-06,0.05595639656,0.054,0.0,0.0,0.0014527278597592228,0.8636254591627095,0.0044764107188646676,0.00122431205682668,1.557994924426206e-09,0.06301356931793459,0.0,0.027739956191761936,3.126361374111053e-07,5.098271916741638e-10,1.9021615015233442e-06,1.2028195094082816e-07,8.091890806478173e-09,4.984009605274393e-09,1.9133853302888926e-06,6.745230445894611e-06,0.0005259548996032632,7.621037158425288e-09,4.205866868528177e-07,2.2863349025896803e-25,4.888894345653938e-15
6.5214683726563914e-06,0.05595639656,0.054,0.0,0.0,0.001447345059491017,0.8636208055981197,0.004480303152120123,0.0012252845184536401,1.5677265580831335e-09,0.06301098255796246,0.0,0.027744711949509126,3.1189217412446654e-07,5.064372988197228e-10,1.8946755085878073e-06,1.1969420955833355e-07,8.072660817931054e-09,4.968845630365552e-09,1.908416128875707e-06,6.728866010186432e-06,0.0005266302268782573,7.564314328511328e-09,4.1896893282476534e-07,2.3149861673824917e-25,4.890570800770027e-15
6.552937362468991e-06,0.05595639656,0.054,0.0,0.0,0.0014420122295926406,0.86361618638398,0.004484177138368833,0.0012262519446162422,1.5774703801941564e-09,0.06300840801703513,0.0,0.027749419762943338,3.1115452140312433e-07,5.030897724556898e-10,1.8872619382478917e-06,1.1911298532691978e-07,8.053593896974703e-09,4.953815500490423e-09,1.9034908482881726e-06,6.712638856834888e-06,0.0005273031069817568,7.508336127145487e-09,4.1736672904885716e-07,2.3438520578997503e-25,4.8922306380505094e-15
6.584406352281591e-06,0.05595639656,0.054,0.0,0.0,0.0014367286855730746,0.8636116010764912,0.004488032876996986,0.0012272143926403889,1.5872263454880095e-09,0.06300584556335329,0.0,0.027754080300887777,3.1042309713597934e-07,4.997838770976877e-10,1.8799197573009444e-06,1.1853817381661556e-07,8.034687966681395e-09,4.938917480488204e-09,1.898608916394246e-06,6.6965472978346156e-06,0.0005279735609932547,7.453089356614518e-09,4.1577986267674604e-07,2.372933109949905e-25,4.8938740847690066e-15
6.615875342094191e-06,0.05595639656,0.054,0.0,0.0,0.001431493755395057,0.863607049239674,0.004491870564272367,0.0012281719189352971,1.5969944090781871e-09,0.06300329506717528,0.0,0.02775869421991258,3.096978206327943e-07,4.965188958221674e-10,1.8726479521410072e-06,1.1796967280223883e-07,8.015940890189178e-09,4.9241498652472e-09,1.8937697710295465e-06,6.6805896726406685e-06,0.0005286416096990247,7.398561116220596e-09,4.142081247049887e-07,2.4022298579856666e-25,4.89550136412717e-15
6.647344331906791e-06,0.05595639656,0.054,0.0,0.0,0.0014263067791860842,0.8636025304451924,0.00449569039340838,0.0012291245790125884,1.6067745264575835e-09,0.06300075640077508,0.0,0.027763262164616116,3.0897861266062725e-07,4.932941245813561e-10,1.865445528172966e-06,1.1740738210981211e-07,7.997350547374036e-09,4.909510977559593e-09,1.8889728606099586e-06,6.664764351761129e-06,0.0005293072735928119,7.3447387545434144e-09,4.1265130988844536e-07,2.431742835177246e-25,4.897112695302017e-15
6.678813321719391e-06,0.05595639656,0.054,0.0,0.0,0.0014211671089658538,0.8635980442721821,0.004499492554626784,0.0012300724275050045,1.6165666534932006e-09,0.06299822943840074,0.0,0.027767784767899113,3.0826539542569427e-07,4.901088700760565e-10,1.8583115093428959e-06,1.1685120362633442e-07,7.97891516448552e-09,4.894999170517473e-09,1.8842176427613375e-06,6.649069730703914e-06,0.0005299705728879915,7.291609918408253e-09,4.111092165679856e-07,2.461472573400635e-25,4.8987082935892286e-15
6.710282311531991e-06,0.05595639656,0.054,0.0,0.0,0.0014160741083850186,0.8635935903070892,0.004503277235217726,0.0012310155181840744,1.6263707464210634e-09,0.06299571405623479,0.0,0.027772262651225118,3.075580923602364e-07,4.869624641279035e-10,1.8512449379669364e-06,1.163010413764841e-07,7.960632665208004e-09,4.880612826200266e-09,1.8795035837572779e-06,6.633504227205076e-06,0.0005306315275253623,7.239162559950952e-09,4.095816466847933e-07,2.4914196031216127e-25,4.900288370517409e-15
