Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76)
2.1861527788179991e-10,0.05595639656,0.054,0.0,0.0,0.029702340963052073,0.8799861628576977,2.1063995651341825e-09,0.0,0.0,0.06599544605411034,0.0,2.766982827125684e-05,1.601929609225005e-06,2.2602042879010893e-06,2.6202904258469805e-06,3.3030406382157734e-07,2.3040050152030087e-09,4.100851287019353e-11,1.4168702838805174e-09,4.920451388011469e-12
2.2251098563834371e-10,0.05595639656,0.054,0.0,0.0,0.029701782782027855,0.8799859165612238,2.225002103575927e-09,0.0,0.0,0.06599539333885697,0.0,2.816224681259856e-05,1.5982723850732056e-06,2.2731957132744252e-06,2.668227509693539e-06,3.38666959687029e-07,2.3574943056849344e-09,4.2979168506007526e-11,1.48902393070086e-09,5.264628857423665e-12
2.2640669339488751e-10,0.05595639656,0.054,0.0,0.0,0.02970122513265819,0.8799856702740714,2.3477355347734477e-09,0.0,0.0,0.0659953408970389,0.0,2.8654642377074982e-05,1.5944652049396314e-06,2.2859516933363214e-06,2.7160804347841404e-06,3.4698888202353553e-07,2.4111201407424046e-09,4.500124095135458e-11,1.5628155917777958e-09,5.623756047096894e-12
2.3030240115143131e-10,0.05595639656,0.054,0.0,0.0,0.029700667986035326,0.8799854239962318,2.474664147557601e-09,0.0,0.0,0.06599528871407381,0.0,2.9147014915246325e-05,1.590525375194941e-06,2.29848660034976e-06,2.7638478667879112e-06,3.5526846427195985e-07,2.4648845288282515e-09,4.7075163212555994e-11,1.6382218668214367e-09,5.998054155786771e-12
2.341981089079751e-10,0.05595639656,0.054,0.0,0.0,0.029700111315381462,0.8799851777276965,2.6058527390689005e-09,0.0,0.0,0.06599523677644262,0.0,2.963936437636056e-05,1.5864687688444918e-06,2.3108137411907473e-06,2.811528657153376e-06,3.635045241485452e-07,2.5187893593108516e-09,4.9201372632537e-11,1.7152194722899181e-09,6.3877388911971045e-12
2.380938166645189e-10,0.05595639656,0.054,0.0,0.0,0.029699555095899065,0.8799849314684578,2.741366617895569e-09,0.0,0.0,0.06599518507161467,0.0,3.013169070843413e-05,1.5823099320293627e-06,2.3229454323055454e-06,2.8591218271829917e-06,3.716960477924425e-07,2.5728363877347446e-09,5.138030975184149e-11,1.7937852913089639e-09,6.793020688152767e-12
2.4198952442106266e-10,0.05595639656,0.054,0.0,0.0,0.029698999304629776,0.8799846852185085,2.881271604623983e-09,0.0,0.0,0.06599513358797729,0.0,3.0623993858327255e-05,1.578062183941291e-06,2.3348930702826036e-06,2.9066265532178902e-06,3.7984217502252953e-07,2.6270272242734766e-09,5.3612417224516434e-11,1.873896417012578e-09,7.214104950170174e-12
2.4588523217760643e-10,0.05595639656,0.054,0.0,0.0,0.029698443920322115,0.8799844389778412,3.02563403001895e-09,0.0,0.0,0.0659950823147698,0.0,3.1116273771813614e-05,1.5737377102174466e-06,2.346667198061022e-06,2.9540421529108514e-06,3.879421856812985e-07,2.681363325659286e-09,5.589813880383707e-11,1.955530189719271e-09,7.651192263461638e-12
2.497809399341502e-10,0.05595639656,0.054,0.0,0.0,0.029697888923307696,0.8799841927464489,3.1745207310215334e-09,0.0,0.0,0.06599503124202175,0.0,3.1608530393644755e-05,1.569347649967455e-06,2.358277566857774e-06,3.0013680725519914e-06,3.959954870300255e-07,2.735845990101918e-09,5.823791838651449e-11,2.038664228362417e-09,8.104478587415384e-12
2.53676647690694e-10,0.05595639656,0.054,0.0,0.0,0.02969733429538559,0.8799839465243255,3.3279990448841404e-09,0.0,0.0,0.0659949803604951,0.0,3.210076366761032e-05,1.5649021767929854e-06,2.3697331940319847e-06,3.048603875375218e-06,4.0400160212304546e-07,2.7904763542082385e-09,6.063219911981761e-11,2.12327645680401e-09,8.574155458888345e-12
