Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27)
8.075452810716587e-15,0.05595639656,0.054,0.0,0.0,0.029736825846570652,0.8799999994882455,2.3212601482886287e-29,0.0,9.388841192021577e-57,0.06599999974579396,0.0,1.0235089168950755e-09,1.671492564537571e-10,1.6714925668280898e-10,8.705679271649872e-11,1.187917545441234e-19,8.531628455245604e-21,6.801547447894216e-35,4.790151595363923e-30,3.537366271725108e-39,3.856550397922326e-42
1.6150919312748725e-14,0.05595639656,0.054,0.0,0.0,0.0297368244017044,0.8799999989764902,7.41958056190507e-28,0.0,3.6394356956669856e-54,0.06599999949158773,0.0,2.04701943561154e-09,3.342987688130246e-10,3.3429877056744055e-10,1.7411349751114463e-10,9.112949887076116e-19,6.817405372154589e-20,2.2402283045571378e-33,1.1721253164662517e-28,3.4333159462600407e-37,7.477793552259264e-40
3.2301852316812995e-14,0.05595639656,0.054,0.0,0.0,0.029736821511973193,0.8799999979529799,2.3688640602397448e-26,0.0,1.5679562680903e-51,0.06599999898317611,0.0,4.0940400724608145e-09,6.685976911434522e-10,6.685977048677235e-10,3.4822620316094206e-10,7.134201442744228e-18,5.441314537209194e-19,7.914421122296471e-32,3.2060348662536293e-27,3.7028794165050173e-35,1.6112241523003508e-37
6.460371832494155e-14,0.05595639656,0.054,0.0,0.0,0.029736815732516172,0.87999999590596,7.546005042236817e-25,0.0,7.16173258822873e-49,0.06599999796635615,0.0,8.188079742416211e-09,1.3371949866857895e-09,1.3371950952506542e-09,6.964488170504926e-10,5.644893486936503e-17,4.333003804471196e-18,3.43293109416194e-30,9.413589296576388e-26,4.2347847575552934e-33,3.680166641237131e-35
9.69055843330701e-14,0.05595639656,0.054,0.0,0.0,0.029736809953064814,0.8799999938589409,3.6040330934511695e-24,0.0,6.110959734667545e-48,0.06599999694953963,0.0,1.2282117807014123e-08,2.0057915470217094e-09,2.005791868335123e-09,1.0446686579862758e-09,1.67055642512902e-16,1.2831115751856679e-17,1.700309536810758e-29,4.420196746995053e-25,2.7866318555284647e-32,2.7782767860597127e-34
1.2920745034119865e-13,0.05595639656,0.054,0.0,0.0,0.029736804173619395,0.8799999918119228,1.190733572730578e-23,0.0,3.265782488921908e-47,0.06599999593272672,0.0,1.6376154264245255e-08,2.674387186064176e-09,2.6743878850037036e-09,1.3928857504242254e-09,3.633772567435544e-16,2.7894573170328463e-17,7.140133910414094e-29,1.4410289493463478e-24,1.2597109695355761e-31,1.3671447341520787e-33
1.9381118235745573e-13,0.05595639656,0.054,0.0,0.0,0.02973679261474359,0.8799999877178882,6.921203719616359e-23,0.0,4.6279333144408625e-46,0.06599999389910982,0.0,2.456422339839202e-08,4.011575572777926e-09,4.011577597991324e-09,2.0893135805517654e-09,1.052885337453544e-15,8.067063859473141e-17,7.705382795687165e-28,8.234467097376893e-24,1.4894723388739166e-30,1.7676978725564865e-32
2.5841491437371284e-13,0.05595639656,0.054,0.0,0.0,0.029736781055892374,0.8799999836238567,2.297718929950142e-22,0.0,2.638863164735544e-45,0.06599999186550747,0.0,3.275228660350257e-08,5.348758722650869e-09,5.348763147529413e-09,2.785731546421735e-09,2.300257871095454e-15,1.7583970386127008e-16,3.44389877339403e-27,2.717863589317802e-23,6.772427988958499e-30,9.132701383397356e-32
3.2301864638996994e-13,0.05595639656,0.054,0.0,0.0,0.02973676949706941,0.8799999795298281,6.180153599719256e-22,0.0,1.147496796219012e-44,0.06599998983192161,0.0,4.094034344380394e-08,6.685934985632415e-09,6.68594328284714e-09,3.482139111128712e-09,4.312808928264265e-15,3.287596918696886e-16,1.2643056130798446e-26,7.288622151160255e-23,2.4497537286261043e-29,3.624203056061691e-31
3.8762237840622705e-13,0.05595639656,0.054,0.0,0.0,0.029736757938277385,0.8799999754358029,1.4434236688301258e-21,0.0,4.2633031865479376e-44,0.06599998779835368,0.0,4.9128393789033376e-08,8.023102765582353e-09,8.023116806628944e-09,4.178536278407407e-09,7.297495525435144e-15,5.544815601195096e-16,3.9651674420086697e-26,1.7004857199143067e-22,7.731203369924544e-29,1.2418891554681621e-30
4.5222611042248415e-13,0.05595639656,0.054,0.0,0.0,0.029736746379518477,0.879999971341781,3.0143686553755984e-21,0.0,1.4192167590790262e-43,0.06599998576480474,0.0,5.731643761908346e-08,9.360260604676683e-09,9.360282629717302e-09,4.8749232298723616e-09,1.1445525980442114e-14,8.666328088114072e-16,1.0826110592824336e-25,3.552824294511854e-22,2.2192102430445605e-28,3.8369976081838e-30
5.814335744549984e-13,0.05595639656,0.054,0.0,0.0,0.02973672326210896,0.8799999631537463,1.0403571534585183e-20,0.0,1.5160912876285015e-42,0.06599998169776826,0.0,7.369250573576434e-08,1.2034540340483209e-08,1.2034586607306245e-08,6.267667389679097e-09,2.4036032116580902e-14,1.8059925061898077e-15,6.119404071224264e-25,1.2305682523598026e-21,1.3184583677445466e-27,3.065292856832822e-29
7.106410384875126e-13,0.05595639656,0.054,0.0,0.0,0.029736700144858547,0.8799999549657246,2.784770544617131e-20,0.0,8.411915124381552e-42,0.06599997763082094,0.0,9.006854771590131e-08,1.4708762212776054e-08,1.4708846273858299e-08,7.66037321695019e-09,4.365729418071833e-14,3.2543087631458795e-15,2.343029039585046e-24,3.308944887133807e-21,5.090132793723712e-27,1.4268687265200866e-28
8.398485025200268e-13,0.05595639656,0.054,0.0,0.0,0.029736677027784916,0.8799999467777156,6.303907259864464e-20,0.0,3.3648570415068697e-41,0.06599997356397157,0.0,1.0644456346901132e-07,1.738291427625775e-08,1.738305271661935e-08,9.05304230353206e-09,7.187731012091607e-14,5.315058752224559e-15,7.114725774662673e-24,7.528554284848199e-21,1.5399283839304887e-26,4.979998224437871e-28
