Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26),N2O2(46)
5.542382600836413e-13,0.05595639656,0.054,0.0,0.0,0.029736728127805544,0.8799999648771465,8.417447109382586e-21,6.84049101401985e-47,1.1066913011592041e-42,0.06599998255378564,0.0,7.024570638141965e-08,1.1471666601484011e-08,1.1471707040307083e-08,5.974526726405688e-09,2.100955856578051e-14,1.5801891646626274e-15,4.564500954748288e-25,9.955141136162506e-22,9.889911412748733e-28,2.2624721174124727e-29,6.083601730877028e-43,4.4980397563322575e-45,4.1850450652581703e-78
6.789418719059782e-13,0.05595639656,0.054,0.0,0.0,0.029736705816328545,0.879999956974536,2.2513065395168516e-20,6.209335441811276e-46,5.955218405159448e-42,0.06599997862858158,0.0,8.605092589846042e-08,1.4052685497280952e-08,1.4052759168433803e-08,7.318694655618624e-09,3.826393687821531e-14,2.8566001041273967e-15,1.7443540107682106e-24,2.673237332898864e-21,3.81168041305245e-27,1.036803270034095e-28,4.7993694648485056e-42,4.0813196794095095e-44,2.3124553695795423e-72
8.03645483728315e-13,0.05595639656,0.054,0.0,0.0,0.029736683505012244,0.8799999490719377,5.108636714601542e-20,3.829201576835515e-45,2.3624385994281977e-41,0.06599997470346677,0.0,1.0185612097818065e-07,1.6633642110065433e-08,1.6633763764359017e-08,8.662827945331643e-09,6.316726656591166e-14,4.680067378973549e-15,5.321115971834818e-24,6.094182839727624e-21,1.1559046039936682e-26,3.6105817229166604e-28,2.6945756609115977e-41,2.516069296283721e-43,7.930074249486576e-72
1e-12,0.05595639656,0.054,0.0,0.0,0.029736648374655797,0.8799999366287705,1.5213942506451374e-19,9.324468293584534e-44,2.0532389084638096e-40,0.06599996852330026,0.0,1.2674245097915196e-07,2.0697385827207016e-08,2.0697619510336602e-08,1.0779192622901753e-08,1.212783227676882e-13,8.873187508742295e-15,2.5092818324221186e-23,1.8335482933366417e-20,5.486348831508619e-26,2.2879899179255488e-27,4.284562834868363e-40,6.114255211545921e-42,5.916536640619433e-72
1.0530527073729887e-12,0.05595639656,0.054,0.0,0.0,0.029736638882925055,0.8799999332667765,1.9591605991315711e-19,1.4902354389712816e-43,3.0924298409500082e-40,0.06599996685353644,0.0,1.3346643754070852e-07,2.1795325650832885e-08,2.1795598417428295e-08,1.1350996356346844e-08,1.415440521681162e-13,1.0321121820891308e-14,3.5076257036094535e-23,2.3666767223777085e-20,7.681362743191051e-26,3.333099907443941e-27,6.72067417153748e-40,9.771080025987122e-42,4.1063806068921744e-76
1.3024599310176625e-12,0.05595639656,0.054,0.0,0.0,0.029736594261671044,0.8799999174616631,5.552455117871085e-19,1.5044698615801323e-42,1.8338213793204967e-39,0.06599995900405783,0.0,1.6507665542516777e-07,2.6956631462081843e-08,2.6957147060648282e-08,1.4039043307155612e-08,2.6739617131071e-13,1.919278600370276e-14,1.449201933802e-22,6.78803798274558e-20,3.1392416146176648e-25,1.64703010913968e-26,5.933267576102825e-39,9.856624386542804e-41,7.750472501976884e-70
1.8012743783070099e-12,0.05595639656,0.054,0.0,0.0,0.02973650502216955,0.8799998858515795,2.7998234379355636e-18,1.234185609504269e-40,4.2129762846171903e-38,0.06599994330670798,0.0,2.2829679273247278e-07,3.7277767750737166e-08,3.727913151175066e-08,1.9414817822393646e-08,7.064276646243363e-13,4.90897317070048e-14,1.3891228901957517e-21,3.524261976321568e-19,3.0132577566553097e-24,2.4066313115314206e-25,2.8447853103874914e-37,8.046847758909975e-39,1.530966797637081e-74
2.3000888255963575e-12,0.05595639656,0.054,0.0,0.0,0.02973641578752189,0.8799998542416869,9.149297603387026e-18,1.5712675181216853e-39,2.9844713749346957e-37,0.06599992761192193,0.0,2.915165282745541e-07,4.759636650512651e-08,4.75992076080915e-08,2.479024147259489e-08,1.4700844702102891e-12,9.905103240175114e-14,6.829581863219673e-21,1.1803938982331148e-18,1.4498606340962743e-23,1.4123752188816325e-24,3.2151619824921156e-36,1.0230842359674087e-37,1.5505600378923287e-67
2.798903272885705e-12,0.05595639656,0.054,0.0,0.0,0.029736326558740693,0.8799998226319851,2.3451982735318513e-17,1.2587502127073376e-38,1.3851007526877551e-36,0.06599991192020387,0.0,3.547358579766896e-07,5.7911743964934855e-08,5.791686692952234e-08,3.016540406116765e-08,2.648087152412962e-12,1.731714395116821e-13,2.4154616036357753e-20,3.0974010720167407e-18,5.042480165675e-23,5.691410341847432e-24,2.3730796024312568e-35,8.187377285941795e-37,5.820245541916903e-67
3.2977177201750524e-12,0.05595639656,0.054,0.0,0.0,0.029736237336836984,0.8799997910224738,5.135915891377312e-17,7.643601867568518e-38,5.0332312273831106e-36,0.06599989623205754,0.0,4.179547783012675e-07,6.822321714307015e-08,6.823160214294786e-08,3.5540395256474915e-08,4.3300440205464134e-12,2.750049041765712e-13,6.912214206134156e-20,6.94341848256029e-18,1.439198793511953e-22,1.8361976137222653e-23,1.33923014225329e-34,4.966750736294773e-36,1.5675093464092793e-66
3.7965321674644e-12,0.05595639656,0.054,0.0,0.0,0.029736148122820036,0.8799997594131536,1.0056883073235362e-16,3.7261259052595957e-37,1.5444955467599236e-35,0.06599988054798599,0.0,4.811732861832309e-07,7.853010396968462e-08,7.854290703074785e-08,4.091530458758969e-08,6.605430072356101e-12,4.076375038994954e-13,1.7003515902189454e-19,1.3916933234384588e-17,3.5589723229866563e-22,5.0672048351241573e-23,6.039621304593283e-34,2.418584762231119e-35,3.4681177795147064e-66
