Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14)
4.70065721975748e-10,0.05595639656,0.054,0.0,0.0,0.02966687785309123,0.879970284416967,2.1208963660596846e-08,0.0,0.0,0.06599233538843217,0.0,5.9403638812479735e-05,1.3431282744109187e-06,2.8748696737160713e-06,5.531099953062864e-06,7.90383340350423e-07,6.029225122072325e-09,2.8906447627801236e-10
4.765659249963097e-10,0.05595639656,0.054,0.0,0.0,0.029665970545854455,0.8799698744507438,2.210012312823901e-08,0.0,0.0,0.06599225977583072,0.0,6.0222567823657757e-05,1.3379293496074003e-06,2.8875230219237587e-06,5.602033049005068e-06,8.002617706783916e-07,6.1315082605414345e-09,2.9905726176679947e-10
4.830661280168715e-10,0.05595639656,0.054,0.0,0.0,0.029665063617116672,0.8799694645097824,2.3016057050223926e-08,0.0,0.0,0.06599218434726131,0.0,6.104142116489731e-05,1.3328131047059144e-06,2.900057201426816e-06,5.672775302526847e-06,8.100643314513699e-07,6.233974261145599e-09,3.092389101865121e-10
4.895663310374333e-10,0.05595639656,0.054,0.0,0.0,0.02966415706450202,0.8799690545940716,2.3957111525166095e-08,0.0,0.0,0.06599210910088199,0.0,6.186019852159128e-05,1.3277780982013473e-06,2.9124730697188134e-06,5.743328506040634e-06,8.19792513761811e-07,6.336614068426654e-09,3.1960944376254846e-10
4.96066534057995e-10,0.05595639656,0.054,0.0,0.0,0.029663250885744306,0.8799686447036005,2.492363134409366e-08,0.0,0.0,0.0659920340349089,0.0,6.267889958028846e-05,1.3228229025091294e-06,2.924771431614987e-06,5.81369441451486e-06,8.294477740799868e-07,6.4394187000067375e-09,3.301688330254147e-10
5.025667370785568e-10,0.05595639656,0.054,0.0,0.0,0.02966234507867645,0.8799682348383575,2.5915959904016373e-08,0.0,0.0,0.06599195914761115,0.0,6.349752402878191e-05,1.3179461075403212e-06,2.9369530445150286e-06,5.8838747462921774e-06,8.390315350137682e-07,6.542379249906118e-09,3.4091699750947335e-10
5.090669400991186e-10,0.05595639656,0.054,0.0,0.0,0.029661439641221223,0.879967824998332,2.693443912330629e-08,0.0,0.0,0.06599188443730636,0.0,6.4316071556195e-05,1.3131463236346149e-06,2.949018623070733e-06,5.9538711839315466e-06,8.485451860934912e-07,6.645486891433943e-09,3.5185380647349335e-10
5.155671431196803e-10,0.05595639656,0.054,0.0,0.0,0.029660534571383037,0.8799674151835128,2.7979409358956502e-08,0.0,0.0,0.06599180990235648,0.0,6.51345418530662e-05,1.308422183860904e-06,2.960968843266613e-06,6.023685375073336e-06,8.579900845810946e-07,6.748732879467496e-09,3.6297907961420995e-10
5.220673461402421e-10,0.05595639656,0.054,0.0,0.0,0.0296596298672409,0.8799670053938891,2.9051209325658542e-08,0.0,0.0,0.06599173554116464,0.0,6.595293461143167e-05,1.3037723457742399e-06,2.9728043459855827e-06,6.0933189333189915e-06,8.67367556295109e-07,6.85210855219338e-09,3.7429258774674524e-10
5.285675491608039e-10,0.05595639656,0.054,0.0,0.0,0.029658725526942084,0.8799665956294497,3.0150176016549904e-08,0.0,0.0,0.06599166135217172,0.0,6.677124952490646e-05,1.299195492753897e-06,2.984525740161309e-06,6.16277343911362e-06,8.76678896439913e-07,6.95560533250165e-09,3.8579405347088544e-10
5.350677521813656e-10,0.05595639656,0.054,0.0,0.0,0.029657821548696547,0.8799661858901843,3.127664462552768e-08,0.0,0.0,0.06599158733385393,0.0,6.75894862887642e-05,1.2946903350075886e-06,2.996133605587658e-06,6.2320504406241225e-06,8.859253704318856e-07,7.05921472909384e-09,3.9748315184049907e-10
5.415679552019274e-10,0.05595639656,0.054,0.0,0.0,0.02965691793077195,0.8799657761760816,3.243094847109569e-08,0.0,0.0,0.0659915134847204,0.0,6.840764460001483e-05,1.2902556102805785e-06,3.0076284954186964e-06,6.3011514546101816e-06,8.951082147197543e-07,7.162928337279709e-09,4.0935951102444815e-10
5.480681582224892e-10,0.05595639656,0.054,0.0,0.0,0.02965601467148924,0.8799653664871314,3.361341892171945e-08,0.0,0.0,0.06599143980331082,0.0,6.922572415748154e-05,1.2858900843004516e-06,3.0190109383860627e-06,6.370077967286122e-06,9.042286375971557e-07,7.2667378394903384e-09,4.214227129497174e-10
