Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25)
2.757251646598092e-09,0.05595639656,0.054,0.0,0.0,0.02936308850331508,0.8798275310414175,2.542983467314443e-06,6.892982466868609e-11,1.2374933576830915e-17,0.06597152913045108,0.0,0.00034232485324841216,1.2481449463258785e-06,2.9013273153653547e-06,2.39362946927358e-05,3.079263683562823e-06,2.8029705281222336e-08,6.423518520231585e-09,1.712411198072002e-07,7.422642911277924e-09,2.8204581392865914e-08,8.001125731343989e-11
2.7803481504050282e-09,0.05595639656,0.054,0.0,0.0,0.029360113910754174,0.8798261043641031,2.584831224783189e-06,7.1870413691084e-11,1.2771334567611242e-17,0.06597135076668127,0.0,0.00034513536951477527,1.2526799887245932e-06,2.8867534378558654e-06,2.4079590735479808e-05,3.10613015564238e-06,2.810462226363514e-08,6.458553479764331e-09,1.7401511608112168e-07,7.604974385065705e-09,2.890290259393217e-08,8.285248898097717e-11
2.8034446542119646e-09,0.05595639656,0.054,0.0,0.0,0.02935714030816234,0.8798246779781094,2.62684559891088e-06,7.491511551620327e-11,1.3177519965088688e-17,0.06597117277566109,0.0,0.00034794512133641753,1.2572010140347928e-06,2.8723247565750846e-06,2.4222306565311412e-05,3.133170017943835e-06,2.8178715516613328e-08,6.4933024335347055e-09,1.7682052842993346e-07,7.790652876430387e-09,2.961417408364226e-08,8.577799234434272e-11
2.826541158018901e-09,0.05595639656,0.054,0.0,0.0,0.02935416768968052,0.8798232518833089,2.669025046729356e-06,7.80670109888932e-11,1.359367072400296e-17,0.06597099515520886,0.0,0.0003507541102340822,1.2617064824158552e-06,2.858043327892266e-06,2.4364445831679082e-05,3.1603828948476363e-06,2.825203055660345e-08,6.527783390496276e-09,1.7965758227350228e-07,7.979721278472791e-09,3.033856483022294e-08,8.878988713115347e-11
2.8496376618258374e-09,0.05595639656,0.054,0.0,0.0,0.02935119604998596,0.8798218260795763,2.711368143111963e-06,8.132925823542313e-11,1.4019970148950226e-17,0.06597081790324553,0.0,0.00035356233761150226,1.2661949384800603e-06,2.8439108943404724e-06,2.4506012078744e-05,3.187768331539105e-06,2.832461080800974e-08,6.562013650440755e-09,1.8252649939418273e-07,8.172222627605299e-09,3.107624448216287e-08,9.189033505721312e-11
2.872734165632774e-09,0.05595639656,0.054,0.0,0.0,0.029348225384265188,0.8798204005667859,2.753873575340402e-06,8.470509418572037e-11,1.4456603903527743e-17,0.06597064101778909,0.0,0.00035636980476099546,1.2706650099952857e-06,2.8299289003966164e-06,2.4647008749090587e-05,3.215325797172327e-06,2.839649764126425e-08,6.596009794506395e-09,1.8542749798869276e-07,8.368200096048075e-09,3.182738328748507e-08,9.50815402075437e-11
2.8958306694397103e-09,0.05595639656,0.054,0.0,0.0,0.029345255688187716,0.8798189753448127,2.796540137756789e-06,8.819783610950763e-11,1.490376001879843e-17,0.06597046449694914,0.0,0.0003591765128689149,1.2751154064482755e-06,2.8160985079503958e-06,2.4787439187436244e-05,3.243054688043639e-06,2.846773041437458e-08,6.629787692542721e-09,1.8836079269206156e-07,8.567696984786286e-09,3.259215204605099e-08,9.836574941056211e-11
2.9189271732466467e-09,0.05595639656,0.054,0.0,0.0,0.02934228695788011,0.8798175504135318,2.839366726498991e-06,9.181088316576764e-11,1.5361628900895913e-17,0.06597028833892173,0.0,0.00036198246302095546,1.2795449175036464e-06,2.802420611516689e-06,2.492730664433127e-05,3.2709543307659412e-06,2.853834651761096e-08,6.663362510529198e-09,1.9132659455481506e-07,8.770756717257715e-09,3.33707221131778e-08,1.0174525260464064e-10
2.942023677053583e-09,0.05595639656,0.054,0.0,0.0,0.029339319189900605,0.8798161257728195,2.8823523343137696e-06,9.554771796514874e-11,1.5830403338381992e-17,0.06597011254198389,0.0,0.00036478765620738936,1.2839524113565955e-06,2.788895853197776e-06,2.5066614279842325e-05,3.2990239854374986e-06,2.8608381420710256e-08,6.6967487130585106e-09,1.9432511103400815e-07,8.97742283403533e-09,3.4163265393531787e-08,1.0522238319832436e-10
2.9651201808605195e-09,0.05595639656,0.054,0.0,0.0,0.029336352381214147,0.8798147014225515,2.9254960454553435e-06,9.9411908145204e-11,1.6310278509598885e-17,0.06596993710448884,0.0,0.0003675920933282361,1.2883368329676881e-06,2.7755246373360974e-06,2.5205365167212854e-05,3.327262848798858e-06,2.8677868722357087e-08,6.729960070591826e-09,1.9735654602093757e-07,9.187738986870669e-09,3.496995430392962e-08,1.0879951842572343e-10
