Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49)
2.7974224695653275e-14,0.05595639656,0.054,0.0,0.0,0.029736822286273834,0.8799999982272286,0.0,0.0,0.0,0.06599999911940442,0.0,3.5455428311643516e-09,5.790226178365266e-10,5.790226271355101e-10,3.015729559062203e-10,4.649491646274007e-18
5.5948461248333625e-14,0.05595639656,0.054,0.0,0.0,0.02973681728111596,0.8799999964544574,0.0,0.0,0.0,0.06599999823881172,0.0,7.091085564219541e-09,1.1580450039064984e-09,1.1580450773613678e-09,6.031432327703253e-10,3.67274345419787e-17
8.392269780101398e-14,0.05595639656,0.054,0.0,0.0,0.029736812275962258,0.8799999946816865,0.0,0.0,0.0,0.06599999735822158,0.0,1.0636627096595935e-08,1.7370668853169096e-09,1.7370671025953987e-09,9.047114237749044e-10,1.0863924361068782e-16
1.1189693435369434e-13,0.05595639656,0.054,0.0,0.0,0.02973680727081291,0.8799999929089163,0.0,0.0,0.0,0.06599999647763408,0.0,1.4182167428294775e-08,2.3160881412003197e-09,2.316088613696546e-09,1.2062775448047742e-09,2.3624811079634156e-16
1.6784540745905504e-13,0.05595639656,0.054,0.0,0.0,0.029736797260525135,0.8799999893633775,0.0,0.0,0.0,0.06599999471646562,0.0,2.127324527378e-08,3.4741287112932734e-09,3.4741300799749586e-09,1.8094049909906152e-09,6.843408395244721e-16
2.2379388056441575e-13,0.05595639656,0.054,0.0,0.0,0.029736787250255144,0.8799999858178407,0.0,0.0,0.0,0.06599999295530776,0.0,2.836431870395709e-08,4.632165780187586e-09,4.632168769916869e-09,2.4125249829441766e-09,1.494864636795417e-15
2.7974235366977646e-13,0.05595639656,0.054,0.0,0.0,0.029736777240005428,0.8799999822723062,0.0,0.0,0.0,0.06599999119416183,0.0,3.545538740345635e-08,5.790198269009741e-09,5.790203873972064e-09,3.0156370971372007e-09,2.802481152790075e-15
3.3569082677513715e-13,0.05595639656,0.054,0.0,0.0,0.029736767229777777,0.8799999787267744,0.0,0.0,0.0,0.0659999894330288,0.0,4.254645128608655e-08,6.948225139075525e-09,6.948234622308133e-09,3.618741315553993e-09,4.741616291450001e-15
4.4758777298585857e-13,0.05595639656,0.054,0.0,0.0,0.02973674720939403,0.8799999716357177,0.0,0.0,0.0,0.06599998591080407,0.0,5.6728564670940003e-08,9.264258219568047e-09,9.264280249875488e-09,4.824926690618121e-09,1.101515370415892e-14
5.594847191965799e-13,0.05595639656,0.054,0.0,0.0,0.029736727189115682,0.8799999645446704,0.0,0.0,0.0,0.06599998238863945,0.0,7.091065880138991e-08,1.1580257154879638e-08,1.1580299848247463e-08,6.031082039344064e-09,2.134668389454863e-14
6.713816654073013e-13,0.05595639656,0.054,0.0,0.0,0.02973670716895417,0.8799999574536331,0.0,0.0,0.0,0.06599997886654066,0.0,8.509273369107134e-08,1.3896214167133573e-08,1.389628768172533e-08,7.2372084080464465e-09,3.675729586015032e-14
