Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29)
5.27730764131422e-17,0.05595639656,0.054,0.0,0.0,0.02973682728199269,0.8799999999966557,0.0,0.0,0.0,0.06599999999833878,0.0,6.688630228486487e-12,1.09232030990959e-12,1.09232030990959e-12,5.689168232844175e-13
1.0555760780271442e-16,0.05595639656,0.054,0.0,0.0,0.029736827272548453,0.8799999999933107,0.0,0.0,0.0,0.06599999999667717,0.0,1.3378712292000564e-11,2.184877718990225e-12,2.184877718990225e-12,1.1379571261306683e-12
2.1112667058185887e-16,0.05595639656,0.054,0.0,0.0,0.02973682725365998,0.8799999999866206,0.0,0.0,0.0,0.06599999999335399,0.0,2.6758876401929164e-11,4.369992534263049e-12,4.369992534263049e-12,2.2760377015516535e-12
4.2226479614014777e-16,0.05595639656,0.054,0.0,0.0,0.02973682721588303,0.8799999999732404,0.0,0.0,0.0,0.0659999999867076,0.0,5.351920455338813e-11,8.74022215322617e-12,8.74022215322617e-12,4.5521987313075616e-12
8.445410472567256e-16,0.05595639656,0.054,0.0,0.0,0.029736827140329134,0.87999999994648,0.0,0.0,0.0,0.06599999997341481,0.0,1.070398605827131e-10,1.7480681344592324e-11,1.7480681344592324e-11,9.104520306475208e-12
1.6890935494898813e-15,0.05595639656,0.054,0.0,0.0,0.029736826989221345,0.8799999998929594,0.0,0.0,0.0,0.06599999994682924,0.0,2.1408117154699136e-10,3.496159953924458e-11,3.496159953924458e-11,1.8209161519434365e-11
3.3781985539561925e-15,0.05595639656,0.054,0.0,0.0,0.029736826687005783,0.8799999997859181,0.0,0.0,0.0,0.06599999989365815,0.0,4.281637890980612e-10,6.992343516151137e-11,6.992343516151137e-11,3.6418436195852637e-11
6.756408562888815e-15,0.05595639656,0.054,0.0,0.0,0.02973682608257471,0.8799999995718355,0.0,0.0,0.0,0.06599999978731595,0.0,8.563290066902562e-10,1.3984710322015304e-10,1.3984710322015304e-10,7.283695455072424e-11
1.3512828580754059e-14,0.05595639656,0.054,0.0,0.0,0.029736824873712785,0.8799999991436703,0.0,0.0,0.0,0.06599999957463173,0.0,1.7126593718348823e-09,2.7969442565194215e-10,2.7969442565194215e-10,1.4567386726889257e-10
2.702566861648455e-14,0.05595639656,0.054,0.0,0.0,0.029736822455989843,0.8799999982873401,0.0,0.0,0.0,0.06599999914926381,0.0,3.4253198219651995e-09,5.593890082381352e-10,5.593890082381352e-10,2.9134719674120293e-10
5.405134868794553e-14,0.05595639656,0.054,0.0,0.0,0.02973681762054767,0.8799999965746802,0.0,0.0,0.0,0.06599999829853029,0.0,6.850639601591096e-09,1.1187778640177981e-09,1.1187778640177981e-09,5.826918718479096e-10
8.10770287594065e-14,0.05595639656,0.054,0.0,0.0,0.029736812785109392,0.8799999948620209,0.0,0.0,0.0,0.06599999744779915,0.0,1.0275958260583335e-08,1.6781663300271752e-09,1.6781663300271752e-09,8.740345631365625e-10
1.0810270883086749e-13,0.05595639656,0.054,0.0,0.0,0.029736807949675155,0.8799999931493621,0.0,0.0,0.0,0.06599999659707045,0.0,1.3701275798943037e-08,2.2375543258890017e-09,2.2375543258890017e-09,1.165375270627012e-09
1.6215406897378946e-13,0.05595639656,0.054,0.0,0.0,0.029736798278816805,0.8799999897240458,0.0,0.0,0.0,0.0659999948956191,0.0,2.0551908245610287e-08,3.3563288992588753e-09,3.3563288992588753e-09,1.7480520298220068e-09
2.1620542911671143e-13,0.05595639656,0.054,0.0,0.0,0.029736788607974917,0.8799999862987317,0.0,0.0,0.0,0.06599999319417761,0.0,2.7402536571322285e-08,4.475100945115943e-09,4.475100945115943e-09,2.3307214940592782e-09
2.702567892596334e-13,0.05595639656,0.054,0.0,0.0,0.02973677893715179,0.8799999828734197,0.0,0.0,0.0,0.06599999149274716,0.0,3.425316048173353e-08,5.593869731774397e-09,5.593869731774397e-09,2.913383142404335e-09
3.2430814940255537e-13,0.05595639656,0.054,0.0,0.0,0.02973676926634902,0.87999997944811,0.0,0.0,0.0,0.06599998979132862,0.0,4.110377989639841e-08,6.7126345646120426e-09,6.7126345646120426e-09,3.496036832591605e-09
4.324108696883993e-13,0.05595639656,0.054,0.0,0.0,0.02973674992480943,0.8799999725974973,0.0,0.0,0.0,0.06599998638852973,0.0,5.4805005304007144e-08,8.950149842701342e-09,8.950149842701342e-09,4.661320455025355e-09
5.405135899742433e-13,0.05595639656,0.054,0.0,0.0,0.02973673058336678,0.8799999657468937,0.0,0.0,0.0,0.06599998298578622,0.0,6.850621274082487e-08,1.1187641545271948e-08,1.1187641545271948e-08,5.826572268080302e-09
6.486163102600872e-13,0.05595639656,0.054,0.0,0.0,0.029736711242031363,0.8799999588962988,0.0,0.0,0.0,0.06599997958310323,0.0,8.220740221957235e-08,1.3425104500470513e-08,1.3425104500470513e-08,6.9917922953693294e-09
8.648217508317751e-13,0.05595639656,0.054,0.0,0.0,0.029736672559723176,0.8799999451951362,0.0,0.0,0.0,0.06599997277793931,0.0,1.0960972736054425e-07,1.7899923620781838e-08,1.7899923620781838e-08,9.322137099004188e-09
1e-12,0.05595639656,0.054,0.0,0.0,0.02973664837463714,0.8799999366287689,0.0,0.0,0.0,0.06599996852329451,0.0,1.267424620720694e-07,2.0697630134440347e-08,2.0697630134440347e-08,1.0779075392471752e-08
1.081027191403463e-12,0.05595639656,0.054,0.0,0.0,0.02973663387796704,0.8799999314940096,0.0,0.0,0.0,0.06599996597307903,0.0,1.3701198077811767e-07,2.237456604576016e-08,2.237456604576016e-08,1.165235496492897e-08
1.5134380725468385e-12,0.05595639656,0.054,0.0,0.0,0.02973655651643982,0.8799999040918637,0.0,0.0,0.0,0.06599995236443378,0.0,1.9181627245221473e-07,3.132315633579949e-08,3.132315633579949e-08,1.6312409931530845e-08
1.9458489536902143e-12,0.05595639656,0.054,0.0,0.0,0.029736479158107468,0.8799998766898612,0.0,0.0,0.0,0.06599993875749632,0.0,2.466202772917042e-07,4.027054638417823e-08,4.027054638417823e-08,2.0971957345122592e-08
2.810670715976966e-12,0.05595639656,0.054,0.0,0.0,0.02973632445365643,0.8799998218862866,0.0,0.0,0.0,0.0659999115500592,0.0,3.562274264681531e-07,5.816041112178485e-08,5.816041112178485e-08,3.028952973463061e-08
3.675492478263717e-12,0.05595639656,0.054,0.0,0.0,0.02973616976986794,0.8799997670832856,0.0,0.0,0.0,0.0659998843533944,0.0,4.658334284582741e-07,7.604153283220178e-08,7.604153283220178e-08,3.960507281139053e-08
4.540314240550469e-12,0.05595639656,0.054,0.0,0.0,0.029736015111986074,0.879999712280858,0.0,0.0,0.0,0.06599985717012376,0.0,5.754382834244872e-07,9.391128908527417e-08,9.391128908527417e-08,4.891858720813111e-08
5.318653826608545e-12,0.05595639656,0.054,0.0,0.0,0.029735875946366702,0.8799996629591637,0.0,0.0,0.0,0.06599983271879406,0.0,6.740816723547134e-07,1.0998218982537213e-07,1.0998218982537213e-07,5.729901617086305e-08
6.096993412666621e-12,0.05595639656,0.054,0.0,0.0,0.029735736809770395,0.8799996136379336,0.0,0.0,0.0,0.06599980828233265,0.0,7.727241325424614e-07,1.2603986452046987e-07,1.2603986452046987e-07,6.567780289448332e-08
6.79749904011889e-12,0.05595639656,0.054,0.0,0.0,0.029735611614781887,0.8799995692492234,0.0,0.0,0.0,0.06599978630379634,0.0,8.615015528057526e-07,1.4047889647647482e-07,1.4047889647647482e-07,7.321730722713649e-08
7.498004667571158e-12,0.05595639656,0.054,0.0,0.0,0.029735486449123803,0.8799995248608892,0.0,0.0,0.0,0.06599976434021405,0.0,9.502782211272758e-07,1.549043039284258e-07,1.549043039284258e-07,8.075548208600635e-08
8.1284597322782e-12,0.05595639656,0.054,0.0,0.0,0.02973537382737739,0.8799994849117099,0.0,0.0,0.0,0.06599974458690971,0.0,1.0301765798575452e-06,1.678743872903679e-07,1.678743872903679e-07,8.753870304954629e-08
8.758914796985241e-12,0.05595639656,0.054,0.0,0.0,0.0297352612336025,0.8799994449628348,0.0,0.0,0.0,0.06599972484782493,0.0,1.1100743298109952e-06,1.8083132744102907e-07,1.8083132744102907e-07,9.432084768081028e-08
9.389369861692283e-12,0.05595639656,0.054,0.0,0.0,0.029735148669781546,0.8799994050142642,0.0,0.0,0.0,0.06599970512395084,0.0,1.1899714711466386e-06,1.937741329724384e-07,1.937741329724384e-07,1.0110191623658043e-07
1e-11,0.05595639656,0.054,0.0,0.0,0.029735039675995528,0.8799993663221832,0.0,0.0,0.0,0.06599968603573406,0.0,1.2673556329984533e-06,2.062955403666462e-07,2.062955403666462e-07,1.0766872561226726e-07
1.0019824926399324e-11,0.05595639656,0.054,0.0,0.0,0.029735036137888443,0.8799993650659977,0.0,0.0,0.0,0.06599968541627436,0.0,1.2698680040336142e-06,2.0670181671077215e-07,2.0670181671077215e-07,1.0788190897372439e-07
1.0650279991106366e-11,0.05595639656,0.054,0.0,0.0,0.029734923639888,0.8799993251180354,0.0,0.0,0.0,0.06599966572577787,0.0,1.3497639286512442e-06,2.196133960336116e-07,2.196133960336116e-07,1.146608261492022e-07
1.1280735055813407e-11,0.05595639656,0.054,0.0,0.0,0.029734811177736138,0.8799992851703772,0.0,0.0,0.0,0.06599964605343928,0.0,1.4296592451882752e-06,2.3250789276373614e-07,2.3250789276373614e-07,1.2143866802005734e-07
1.2064334960307244e-11,0.05595639656,0.054,0.0,0.0,0.02973467145012126,0.8799992355193935,0.0,0.0,0.0,0.0659996216292356,0.0,1.528961212511491e-06,2.4850933666674587e-07,2.4850933666674587e-07,1.298614277628225e-07
1.284793486480108e-11,0.05595639656,0.054,0.0,0.0,0.029734531784598044,0.8799991858688792,0.0,0.0,0.0,0.06599959723643861,0.0,1.628262241171682e-06,2.6448103421147166e-07,2.6448103421147166e-07,1.3828252723461992e-07
1.3631534769294916e-11,0.05595639656,0.054,0.0,0.0,0.02973439218484716,0.8799991362188339,0.0,0.0,0.0,0.06599957287688851,0.0,1.7275623316012134e-06,2.8042114459100616e-07,2.8042114459100616e-07,1.4670196692929456e-07
1.4415134673788753e-11,0.05595639656,0.054,0.0,0.0,0.029734252654520156,0.8799990865692576,0.0,0.0,0.0,0.06599954855241116,0.0,1.826861484256259e-06,2.9632784155772626e-07,2.9632784155772626e-07,1.5511974734063571e-07
1.519873457828259e-11,0.05595639656,0.054,0.0,0.0,0.02973411319723724,0.8799990369201499,0.0,0.0,0.0,0.06599952426481656,0.0,1.9261596996171955e-06,3.1219931452332126e-07,3.1219931452332126e-07,1.635358689623058e-07
1.5982334482776425e-11,0.05595639656,0.054,0.0,0.0,0.02973397381658577,0.8799989872715106,0.0,0.0,0.0,0.06599950001589845,0.0,2.02545697818825e-06,3.2803376930939723e-07,3.2803376930939723e-07,1.7195033228775945e-07
1.6765934387270262e-11,0.05595639656,0.054,0.0,0.0,0.029733834516118746,0.8799989376233395,0.0,0.0,0.0,0.06599947580743334,0.0,2.1247533204976632e-06,3.4382942890855223e-07,3.4382942890855223e-07,1.8036313781018898e-07
1.8333134196257935e-11,0.05595639656,0.054,0.0,0.0,0.029733556169766178,0.8799988383284004,0.0,0.0,0.0,0.06599942751887627,0.0,2.323343198561528e-06,3.752973463569217e-07,3.752973463569217e-07,1.9718377741677784e-07
1.974361402434684e-11,0.05595639656,0.054,0.0,0.0,0.029733305967157734,0.8799987489645533,0.0,0.0,0.0,0.06599938421496361,0.0,2.5020708925825486e-06,4.0346834811907895e-07,4.0346834811907895e-07,2.1231668831548162e-07
2.1013045869626853e-11,0.05595639656,0.054,0.0,0.0,0.029733081052136824,0.879998668538384,0.0,0.0,0.0,0.06599934537610563,0.0,2.662923231393425e-06,4.2869217226046713e-07,4.2869217226046713e-07,2.259317221369844e-07
2.2282477714906866e-11,0.05595639656,0.054,0.0,0.0,0.029732856404972335,0.8799985881134381,0.0,0.0,0.0,0.06599930667212377,0.0,2.823773123433434e-06,4.537854628002252e-07,4.537854628002252e-07,2.3954241349880865e-07
2.355190956018688e-11,0.05595639656,0.054,0.0,0.0,0.029732632039424365,0.8799985076897138,0.0,0.0,0.0,0.06599926810989837,0.0,2.984620571693855e-06,4.787413371664429e-07,4.787413371664429e-07,2.531487644779535e-07
2.4821341405466892e-11,0.05595639656,0.054,0.0,0.0,0.029732407968929512,0.8799984272672101,0.0,0.0,0.0,0.06599922969614844,0.0,3.1454655793135517e-06,5.035530744500744e-07,5.035530744500744e-07,2.667507771451042e-07
2.6090773250746905e-11,0.05595639656,0.054,0.0,0.0,0.029732184206587985,0.879998346845925,0.0,0.0,0.0,0.06599919143742461,0.0,3.306308149575376e-06,5.282141218752557e-07,5.282141218752557e-07,2.803484535639117e-07
